,date,retail and recreation,grocery and pharmacy,parks,transit,workplaces,residential,sub region
142,1/31/2021,-29.19354839,-0.290322581,-17.48387097,-7.0,-19.64516129,12.12903226,Junagadh
143,1/31/2021,-19.35483871,36.35483871,9.129032258,-33.61290323,-20.4516129,12.19354839,Kheda
144,1/31/2021,-19.16129032,10.16129032,-30.67741935,-8.548387097,-12.16129032,6.709677419,Kutch
145,1/31/2021,-18.16129032,,-21.4516129,-14.70967742,-16.90322581,9.290322581,Mahisagar
146,1/31/2021,-19.22580645,16.29032258,-47.58064516,-11.06451613,-12.87096774,12.16129032,Mehsana
147,1/31/2021,-19.5483871,-8.677419355,4.225806452,-18.74193548,-14.35483871,11.93548387,Morbi
148,1/31/2021,22.35483871,,-18.12903226,-3.322580645,-9.903225806,15.0,Narmada
149,1/31/2021,-15.38709677,0.612903226,-28.4516129,-35.19354839,-13.90322581,11.06451613,Navsari
150,1/31/2021,-11.29032258,10.41935484,1.0,-9.774193548,-6.677419355,10.19354839,Panchmahal
151,1/31/2021,-15.77419355,44.12903226,-10.74193548,-9.225806452,-13.06451613,12.70967742,Patan
152,1/31/2021,-27.12903226,36.06451613,-35.87096774,-7.032258065,-16.96774194,11.90322581,Porbandar
153,1/31/2021,-34.80645161,3.516129032,-35.38709677,-7.64516129,-18.74193548,9.483870968,Rajkot
154,1/31/2021,-7.64516129,15.87096774,3.903225806,-14.93548387,-10.19354839,11.77419355,Sabarkatha
155,1/31/2021,-30.41935484,3.709677419,-30.83870968,-9.290322581,-17.32258065,7.129032258,Surat
156,1/31/2021,-21.70967742,13.90322581,23.93548387,-22.61290323,-16.16129032,11.19354839,Surendranagar
157,1/31/2021,-7.870967742,22.48387097,-17.64516129,-4.677419355,-9.193548387,14.19354839,Tapi
158,1/31/2021,-32.96774194,-9.129032258,-38.12903226,-12.09677419,-19.12903226,10.93548387,Vadodara
159,1/31/2021,-17.41935484,27.4516129,-0.032258065,-30.80645161,-10.25806452,11.58064516,Valsad
160,1/31/2021,-18.67741935,-9.741935484,-16.80645161,-38.19354839,-17.0,8.903225806,Ambala
161,1/31/2021,-18.06451613,27.70967742,-6.451612903,-19.4516129,-13.93548387,6.903225806,Bhiwani
162,1/31/2021,-26.83870968,6.806451613,-26.29032258,-18.41935484,-22.48387097,9.774193548,Faridabad
163,1/31/2021,-27.80645161,3.709677419,-42.61290323,-16.0,-15.77419355,6.870967742,Fatehabad
164,1/31/2021,-31.70967742,-3.387096774,-49.38709677,-32.4516129,-30.5483871,10.09677419,Gurgaon
165,1/31/2021,-21.25806452,-9.193548387,-24.74193548,-35.35483871,-16.35483871,8.870967742,Hisar
166,1/31/2021,-17.4516129,-12.4516129,9.064516129,-5.870967742,-18.4516129,8.129032258,Jhajjar
167,1/31/2021,-24.77419355,33.74193548,-32.51612903,-27.32258065,-15.83870968,8.870967742,Jind
168,1/31/2021,-12.06451613,-7.516129032,-35.83870968,-36.83870968,-14.35483871,8.35483871,Kaithal
169,1/31/2021,-26.06451613,-11.25806452,-33.93548387,-38.22580645,-16.83870968,8.677419355,Karnal
170,1/31/2021,-21.09677419,2.322580645,-24.4516129,-32.16129032,-15.0,10.74193548,Kurukshetra
171,1/31/2021,-16.80645161,1.129032258,-37.74193548,-3.096774194,-10.4516129,9.838709677,Mahendragarh
172,1/31/2021,1.838709677,17.16129032,-1.935483871,32.51612903,-15.29032258,5.677419355,Mewat
173,1/31/2021,-21.0,16.77419355,-39.19354839,-22.16129032,-20.96774194,8.806451613,Palwal
174,1/31/2021,-24.29032258,-8.516129032,-31.90322581,-13.29032258,-20.16129032,9.096774194,Panchkula
175,1/31/2021,-13.77419355,29.87096774,-34.16129032,-40.32258065,-10.09677419,5.903225806,Panipat
