date,retail and recreation,grocery and pharmacy,parks,transit,workplaces,residential,sub region
1/31/2021,-31.96774194,40.19354839,6.64516129,8.967741935,-21.41935484,11.64516129,Papum Pare
4/30/2021,-24.53932584,52.39325843,21.01123596,12.95505618,-17.75280899,10.71910112,Papum Pare
7/31/2021,-42.65217391,25.69565217,1.326086957,-21.14130435,-32,19.98913043,Papum Pare
10/31/2021,-19.63043478,66.34782609,25.39130435,11.89130435,-16.75,13.02173913,Papum Pare
1/31/2022,-12.60655738,64.8852459,26.14754098,8.442622951,-14.24590164,12.19672131,Papum Pare
1/31/2021,,,,,-37.25806452,,Tawang
4/30/2021,,,,,-43.20224719,,Tawang
7/31/2021,,,,,-45.82608696,,Tawang
10/31/2021,,,,,-39.57608696,,Tawang
1/31/2022,,,,,-40.59016393,,Tawang
1/31/2021,-39.47826087,,,,-37.70967742,2.6,West Kameng
4/30/2021,-31.28571429,,,,-39.91011236,-0.193548387,West Kameng
7/31/2021,-31.57894737,,,,-40.55434783,2.740740741,West Kameng
10/31/2021,-22.60273973,,,,-36.05434783,2.606060606,West Kameng
1/31/2022,-20.58823529,,,,-35.01639344,1.791666667,West Kameng
1/31/2021,-0.838709677,16.70967742,-17.96774194,-13.77419355,-14.25806452,13.09677419,Baksa
4/30/2021,-10.31460674,22.15730337,-35.04494382,-10.26966292,-13.12359551,14.25842697,Baksa
7/31/2021,-21.18478261,2.793478261,-49.20652174,-30.5,-22.66304348,22.08695652,Baksa
10/31/2021,2.25,25.81521739,-27.92391304,-14.41304348,-11.93478261,16,Baksa
1/31/2022,15.85245902,36.81967213,-22.24590164,-7.213114754,0.213114754,12.59016393,Baksa
1/31/2021,-12.93548387,25.96774194,20.64516129,-18.80645161,-0.290322581,10.83870968,Barpeta
4/30/2021,-9.584269663,36.17977528,9.764044944,-16.03370787,0.550561798,11.69662921,Barpeta
7/31/2021,-21.67391304,27.06521739,18.05434783,-36.19565217,-6.923913043,17.04347826,Barpeta
10/31/2021,3.673913043,34.97826087,30.22826087,-18.25,9.434782609,11.83695652,Barpeta
1/31/2022,16.52459016,45.45901639,39.18032787,0.081967213,25.81967213,9.836065574,Barpeta
1/31/2021,-15.64516129,9.741935484,47.5483871,-14.09677419,-4.387096774,12,Bongaigaon
4/30/2021,-11.95505618,14.06741573,37.41573034,-9.191011236,-6.112359551,12.24719101,Bongaigaon
7/31/2021,-27.51086957,0.47826087,36.38043478,-25.07608696,-13.23913043,18.84782609,Bongaigaon
10/31/2021,-6.130434783,21.2826087,61.5,-3.413043478,0.369565217,12.30434783,Bongaigaon
1/31/2022,4.147540984,31.09836066,85.06557377,11.67213115,14.01639344,9.229508197,Bongaigaon
1/31/2021,-13.90322581,-1.903225806,31.35483871,-11.83870968,-14.90322581,11.87096774,Cachar
4/30/2021,-11.49438202,3.662921348,19.24719101,-7.224719101,-12.17977528,12.12359551,Cachar
7/31/2021,-30.9673913,-17.06521739,20.83695652,-24.35869565,-21.42391304,18.25,Cachar
10/31/2021,-7.804347826,10.39130435,36.32608696,0.510869565,-10.23913043,12.77173913,Cachar
1/31/2022,5.032786885,24.37704918,44.27868852,8.540983607,-0.508196721,10.47540984,Cachar
1/31/2021,-24.61290323,0.935483871,3.387096774,-18.16129032,-10.87096774,10.87096774,Chirang
4/30/2021,-22.56179775,12.12359551,-9.224719101,-17.37078652,-9.415730337,9.674157303,Chirang
7/31/2021,-34.25,-4.065217391,-1.423913043,-33.81521739,-16.68478261,16.2826087,Chirang
10/31/2021,-15.25,20.5326087,0.347826087,-20.26086957,-6.315217391,10.72826087,Chirang
1/31/2022,-6.737704918,30.44262295,5.737704918,-7.098360656,4.295081967,8.426229508,Chirang
1/31/2021,-20.48387097,32.96774194,58.70967742,12.25806452,-17.22580645,15.22580645,Darrang
4/30/2021,-14.43820225,50.12359551,62.40449438,20.52808989,-12.88764045,16,Darrang
7/31/2021,-34.01086957,31.89130435,22.34782609,-10.73913043,-21.84782609,23.52173913,Darrang
10/31/2021,-10.20652174,66.36956522,59.10869565,21.57608696,-8.445652174,16.63043478,Darrang
1/31/2022,1.295081967,88.1147541,88.16393443,39.91803279,3.475409836,15.13114754,Darrang
1/31/2021,11.51612903,19.58064516,4.548387097,-9.580645161,-12.80645161,6.774193548,Dhemaji
4/30/2021,17.7752809,32.64285714,-4.584269663,-4.382022472,-13.23595506,6.426966292,Dhemaji
7/31/2021,-8.358695652,8,-6.576086957,-27.04347826,-16.02173913,13.35869565,Dhemaji
10/31/2021,20.66304348,32.98901099,-5.467391304,-4.608695652,-6.217391304,8.804347826,Dhemaji
1/31/2022,32.14754098,43.25,8.180327869,4.901639344,6.393442623,7.131147541,Dhemaji
1/31/2021,-4,4.35483871,0.870967742,-3.161290323,-7.806451613,12.51612903,Dhubri
4/30/2021,-5.011235955,9.191011236,-6.584269663,3.438202247,-9.471910112,12.64044944,Dhubri
7/31/2021,-15.80434783,1.054347826,-0.010869565,-8.858695652,-15.79347826,18.4673913,Dhubri
10/31/2021,9.315217391,19.31521739,15.5326087,10.08695652,-3.097826087,14.35869565,Dhubri
1/31/2022,22.27868852,38.70491803,28.19672131,24.1147541,10.80327869,11.63934426,Dhubri
1/31/2021,-15.25806452,15.51612903,0.612903226,-9.129032258,-6.483870968,10.80645161,Dibrugarh
4/30/2021,-12.28089888,25.94382022,5.662921348,-4.258426966,-3.415730337,10.79775281,Dibrugarh
7/31/2021,-33.44565217,0.597826087,-15.58695652,-27,-12.41304348,17.84782609,Dibrugarh
10/31/2021,-4.967391304,32.43478261,7.652173913,-6.22826087,-1.989130435,11.33695652,Dibrugarh
1/31/2022,11.31147541,45.39344262,9.491803279,1.819672131,10.19672131,10,Dibrugarh
1/31/2021,-12.35483871,,-18.87096774,-7.225806452,-17.41935484,7.967741935,Dima Hasao
4/30/2021,-7.775280899,,-13.4494382,0.606741573,-16.11235955,6.382022472,Dima Hasao
7/31/2021,-23.35164835,,-17.18478261,-11.26086957,-23.34782609,13.4673913,Dima Hasao
10/31/2021,1.573033708,,3.576086957,6.391304348,-12.7826087,9.336956522,Dima Hasao
1/31/2022,7.280701754,,21.81967213,15.62295082,-6.672131148,8.049180328,Dima Hasao
1/31/2021,-12.03225806,14.41935484,4.516129032,-14.38709677,-12.06451613,11.29032258,Goalpara
4/30/2021,-10.60674157,21.04494382,4.370786517,-8.797752809,-12.28089888,11.69662921,Goalpara
7/31/2021,-26.56521739,2.358695652,-1.141304348,-35.09782609,-22.70652174,18.05434783,Goalpara
10/31/2021,-1.184782609,34.09782609,22.94565217,-5.434782609,-6.836956522,12.17391304,Goalpara
1/31/2022,12.16393443,51.93442623,37.29508197,13.03278689,6.098360656,10.04918033,Goalpara
1/31/2021,-18.77419355,-20.4516129,-0.483870968,-21.48387097,-14.58064516,10.77419355,Golaghat
4/30/2021,-14.73033708,-15.51685393,-10.96629213,-18.5505618,-15.23595506,11.28089888,Golaghat
7/31/2021,-47.7173913,-35.88043478,-17,-45.76086957,-29.5,19.56521739,Golaghat
10/31/2021,-24.86956522,-12.43478261,-1.782608696,-23.05434783,-16.52173913,12.23913043,Golaghat
1/31/2022,-15.91803279,-4.754098361,8.721311475,-13.8852459,-2.672131148,10.45901639,Golaghat
1/31/2021,10.62068966,1.258064516,13.61290323,-22.29032258,1,10.70967742,Hailakandi
4/30/2021,8.413793103,7.764044944,8.056179775,-20.83146067,0.460674157,11.64044944,Hailakandi
7/31/2021,-4.597826087,-7.369565217,8.793478261,-47.4673913,-8.184782609,18.2826087,Hailakandi
10/31/2021,22.9673913,2.445652174,20.80434783,-35.7826087,7.52173913,13.7826087,Hailakandi
1/31/2022,37.62295082,11.68852459,26.78688525,-27.52459016,19.6557377,11.21311475,Hailakandi
1/31/2021,-16.74193548,12.03225806,6.35483871,-25.83870968,-12.35483871,12.16129032,Jorhat
4/30/2021,-12.8988764,22.40449438,3.292134831,-17.3258427,-9.921348315,12.71910112,Jorhat
7/31/2021,-44.32608696,-10.91304348,-3.391304348,-42.40217391,-24.7826087,21.07608696,Jorhat
10/31/2021,-14.27173913,25.15217391,4.630434783,-14.59782609,-11.76086957,13.44565217,Jorhat
1/31/2022,-4.360655738,35.62295082,17.60655738,-5.606557377,1.62295082,11.50819672,Jorhat
1/31/2021,-28.29032258,-6.64516129,-6.032258065,-11.74193548,-19.35483871,10.96774194,Kamrup
4/30/2021,-25.24719101,-3.337078652,-15.06741573,-9.011235955,-14.76404494,12.04494382,Kamrup
7/31/2021,-41.47826087,-19.18478261,-18.39130435,-23.88043478,-21.40217391,17.9673913,Kamrup
10/31/2021,-20,-0.695652174,-0.195652174,-3.815217391,-11.30434783,12.70652174,Kamrup
1/31/2022,-7.508196721,10.96721311,6.62295082,9,-1.114754098,10.70491803,Kamrup
1/31/2021,-28.64516129,-15.4516129,-7.161290323,-0.483870968,-16.19354839,12.70967742,Kamrup Metropolitan
4/30/2021,-27.01123596,-8.91011236,-11.84269663,0.337078652,-9.494382022,13.49438202,Kamrup Metropolitan
7/31/2021,-47.54347826,-28.39130435,-35.83695652,-26.79347826,-23.43478261,21.95652174,Kamrup Metropolitan
10/31/2021,-24.7173913,-4.010869565,-21.73913043,2.326086957,-8.760869565,14.29347826,Kamrup Metropolitan
1/31/2022,-12.98360656,11.32786885,-5.442622951,16.83606557,1.098360656,12.08196721,Kamrup Metropolitan
1/31/2021,-35.09677419,-10,-1.387096774,-32.83870968,-18.22580645,9.064516129,Karbi Anglong
4/30/2021,-28.70786517,-4.719101124,-14.98876404,-18.76404494,-20.28089888,8.078651685,Karbi Anglong
