,Districts,Mean Cases
367,Chikkamagaluru,13838
368,Panchmahal,4188
369,Balasore,12171
370,Purulia,7086
371,Rohtak,12197
372,Ujjain,4845
373,Bengaluru Urban,394300
374,Tiruppur,17520
375,Doda,3420
376,Mungeli,3949
377,Bharuch,4022
378,Anantnag,4851
379,Boudh,2791
380,Sivaganga,6604
381,Surguja,7965
382,Davanagere,22190
383,Rampur,5458
384,Neemuch,2994
385,Pauri Garhwal,5111
386,Kolkata,126200
387,Gondia,14147
388,Dungarpur,4876
389,Jhansi,10304
390,Jashpur,3707
391,Valsad,1387
392,Ernakulam,95650
393,Hanumangarh,2963
394,Jehanabad,4548
395,West Kameng,937
396,Sirohi,3729
397,Uttarkashi,3761
398,Gautam Buddha Nagar,25224
399,Theni,17001
400,Kannur,43453
401,Muzaffarpur,11802
402,Pakur,902
403,Shahjahanpur,6895
404,Bageshwar,1528
405,Indore,56719
406,Hapur,4353
407,South Garo Hills,198
408,Ambala,11726
409,Bundi,3011
410,Jalandhar,20311
411,Aligarh,11292
412,Barnala,2306
413,Patiala,16096
414,Changlang,1278
415,Saiha,35
416,Nanded,21865
417,Aizawl,2821
418,Balangir,8698
419,Srikakulam,46051
420,Bijapur,4014
421,Koraput,7870
422,Ramanathapuram,6377
423,Chhota Udaipur,897
424,Kulgam,2678
425,Solapur,54943
426,Jamnagar,10357
427,Ranchi,31695
428,Madurai,20797
429,Harda,2091
430,Barabanki,7764
431,Raichur,14228
432,Phek,47
433,Durg,24356
434,Champawat,1794
435,South West Khasi Hills,57
436,Raigarh,22190
437,South Tripura,4054
438,Jalna,13096
439,Etawah,5741
440,Washim,7050
441,Jalpaiguri,14538
442,Mandla,1211
443,Alwar,21637
444,Vijayapura,14339
445,Kollam,66262
446,Deoria,6737
447,Morbi,3184
448,Baramulla,8054
449,Jaunpur,6654
450,Anantapur,67534
451,Jalore,5600
452,Belagavi,26504
453,Amroha,4292
454,Hisar,17036
455,Kalahandi,6335
456,Amritsar,14804
457,Udham Singh Nagar,11330
458,Ribhoi,1355
459,Siddharthnagar,4051
460,West Champaran,6019
461,Mirzapur,3429
462,Devbhumi Dwarka,1075
463,Mandya,19576
464,East Garo Hills,339
465,Sheopur,1452
466,Malappuram,98365
467,Sidhi,1982
468,Jhalawar,3551
469,Munger,4216
470,Salem,32090
471,Kupwara,5612
472,Dharwad,22038
473,Alappuzha,62903
474,Rajsamand,4083
475,Amethi,3684
476,Kutch,4278
477,Mandi,9853
478,Kheda,3111
479,Varanasi,23122
480,West Tripura,11621
481,South 24 Parganas,36629
482,Nuapada,7453
483,Gumla,2302
484,Kapurthala,4845
485,Papum Pare,6771
486,Mysuru,52966
487,Patna,51097
488,Porbandar,717
489,Dholpur,3754
490,Jhargram,3009
491,Mau,3053
492,Raigad,67700
493,Coimbatore,53490
494,Jalaun,3954
495,Ahmedabad,59631
496,Palghar,47504
497,West Garo Hills,1713
498,Tonk,3440
499,Nadia,22215
500,Jodhpur,44445
501,Nagaur,9969
502,Chengalpattu,50842
503,Unnao,4531
504,Pathanamthitta,37699
505,Chennai,228758
506,Kallakurichi,10847
507,Kishanganj,4306
508,Vadodara,26615
509,Jajpur,12107
510,Kalimpong,2199
511,Almora,3192
512,Pratapgarh,3189
513,Chatra,1418
514,Ranipet,16032
515,Gurugram,57684
516,Nagapattinam,8320
517,Una,2829
518,Purba Medinipur,20423
519,Lakhisarai,3783
520,Mandsaur,2783
521,Rae Bareli,5395
522,Kota,19226
523,Etah,2526
524,Mayiladuthurai,20570
525,Longding,250
526,Paschim Medinipur,20064
527,Pudukkottai,11491
528,Ahmednagar,70574
529,Chhatarpur,2077
530,North 24 Parganas,119850
531,Lower Subansiri,381
532,Beed,17626
533,Wokha,39
534,Nawada,4205
535,Jharsuguda,7668
536,Sant Kabir Nagar,3332
537,Tumakuru,24873
538,Dhule,15883
539,Delhi,631495
540,Faridkot,3952
541,Siang,133
542,Mehsana,6868
543,Hazaribagh,4417
544,Rajouri,3860
545,Solan,6630
546,Murshidabad,12140
547,Gir Somnath,2419
