,Districts,Mean Cases
435,South West Khasi Hills,59
436,Raigarh,26435
437,South Tripura,4067
438,Jalna,21845
439,Etawah,6334
440,Washim,13880
441,Jalpaiguri,15048
442,Mandla,1569
443,Alwar,23478
444,Vijayapura,15425
445,Kollam,90238
446,Deoria,7365
447,Morbi,3681
448,Baramulla,9028
449,Jaunpur,7848
450,Anantapur,69306
451,Jalore,5911
452,Belagavi,27647
453,Amroha,4823
454,Hisar,18492
455,Kalahandi,7029
456,Amritsar,19800
457,Udham Singh Nagar,12386
458,Ribhoi,1411
459,Siddharthnagar,4381
460,West Champaran,6662
461,Mirzapur,4156
462,Devbhumi Dwarka,1314
463,Mandya,20868
464,East Garo Hills,340
465,Sheopur,1691
466,Malappuram,123171
467,Sidhi,2467
468,Jhalawar,4162
469,Munger,4840
470,Salem,33932
471,Kupwara,5868
472,Dharwad,23402
473,Alappuzha,81247
474,Rajsamand,5256
475,Amethi,4103
476,Kutch,5129
477,Mandi,10780
478,Kheda,3843
479,Varanasi,29729
480,West Tripura,11850
481,South 24 Parganas,39094
482,Nuapada,8585
483,Gumla,2714
484,Kapurthala,7715
485,Papum Pare,6824
486,Mysuru,56853
487,Patna,59303
488,Porbandar,800
489,Dholpur,4229
490,Jhargram,3103
491,Mau,3451
492,Raigad,81418
493,Coimbatore,59684
494,Jalaun,4375
495,Ahmedabad,77654
496,Palghar,56214
497,West Garo Hills,1732
498,Tonk,3769
499,Nadia,23561
500,Jodhpur,49402
501,Nagaur,10722
502,Chengalpattu,57376
503,Unnao,5232
504,Pathanamthitta,58567
505,Chennai,252190
506,Kallakurichi,11098
507,Kishanganj,4491
508,Vadodara,34203
509,Jajpur,12584
510,Kalimpong,2275
511,Almora,3451
512,Pratapgarh,3350
513,Chatra,1623
514,Ranipet,16772
515,Gurugram,67363
516,Nagapattinam,9416
517,Una,3906
518,Purba Medinipur,21324
519,Lakhisarai,4052
520,Mandsaur,3344
521,Rae Bareli,6615
522,Kota,23443
523,Etah,2925
524,Mayiladuthurai,22251
525,Longding,250
526,Paschim Medinipur,20553
527,Pudukkottai,11967
528,Ahmednagar,95188
529,Chhatarpur,2534
530,North 24 Parganas,130015
531,Lower Subansiri,385
532,Beed,26367
533,Wokha,39
534,Nawada,4618
535,Jharsuguda,8371
536,Sant Kabir Nagar,3757
537,Tumakuru,28125
538,Dhule,23245
539,Delhi,709763
540,Faridkot,4847
541,Siang,133
542,Mehsana,8197
543,Hazaribagh,5104
544,Rajouri,3967
545,Solan,7797
546,Murshidabad,13242
547,Gir Somnath,2812
548,Chamba,3160
549,Banda,4409
550,Panchkula,12962
551,Latur,35089
552,Dhamtari,10202
553,Malkangiri,5267
554,Banswara,2946
555,Siwan,5326
556,Ashoknagar,1375
557,Hoshangabad,4394
558,Sukma,4086
559,S.P.S. Nellore,64591
560,East Kameng,304
561,Buldhana,25179
562,Guntur,79708
563,Daman,1589
564,Muzaffarnagar,9994
565,Karnal,14496
566,Rayagada,8631
567,Dadra and Nagar Haveli,2034
568,Mokokchung,197
569,Kiphire,41
570,Prakasam,63381
571,Rajgarh,3032
572,Botad,1157
573,Rajkot,27421
574,Simdega,2282
575,Nagpur,216350
576,Lower Dibang Valley,503
577,Tehri Garhwal,4574
578,Hooghly,31094
579,Chikkaballapura,14446
580,Dhar,4810
581,Udupi,24918
582,Shopiyan,2661
583,Ganjam,22158
584,Bhavnagar,7205
585,Dakshin Dinajpur,8333
586,Dibrugarh,0
587,Narsinghpur,4213
588,Vidisha,4420
589,Upper Dibang Valley,23
590,Kannauj,3870
591,Latehar,2209
592,BSF Camp,85
593,Tiruvannamalai,20024
594,Baloda Bazar,12887
595,Kanpur Nagar,37512
596,West Godavari,94700
597,Parbhani,14342
598,Gopalganj,6155
599,Sheohar,1621
600,Koderma,4062
601,Madhepura,5140
602,Faridabad,49853
603,Bikaner,20036
604,Rupnagar,4847
605,Sehore,3373
606,West Siang,1031
607,Thiruvananthapuram,107494
608,Krishnagiri,8935
609,East Khasi Hills,8917
610,Lakshadweep,1430
611,Lohardaga,2012
612,Niwari,870
613,Hoshiarpur,12415
614,Dindigul,12100
615,Khargone,6487
616,Auraiya,4029
617,Buxar,4343
618,Thiruvarur,12092
619,Jhunjhunu,4782
620,Jaisalmer,2425
621,S.A.S. Nagar,26039
622,Banaskantha,5235
623,Tarn Taran,3108
624,Umaria,1710
625,Tenkasi,8953
626,Gorakhpur,23851
627,Dumka,1757
628,Tuensang,249
629,Meerut,24795
630,Palwal,4547
631,Ferozepur,5253
632,Sambhal,3544
633,Gaya,9755
634,Kangra,9887
635,Bidar,9488
636,Barwani,3743
637,Other State,437
638,Ariyalur,4861
639,Dang,247
640,Kancheepuram,30926
