District,01-08-2021,02-08-2021,03-08-2021,04-08-2021,05-08-2021,06-08-2021,07-08-2021,08-08-2021,09-08-2021,10-08-2021,11-08-2021,12-08-2021,13-08-2021,14-08-2021,15-08-2021,16-08-2021,17-08-2021,18-08-2021,19-08-2021,20-08-2021,21-08-2021,22-08-2021,23-08-2021,24-08-2021,25-08-2021,26-08-2021,27-08-2021,28-08-2021,29-08-2021,30-08-2021,31-08-2021,01-09-2021,02-09-2021,03-09-2021,04-09-2021,05-09-2021,06-09-2021,07-09-2021,08-09-2021,09-09-2021,10-09-2021,11-09-2021,12-09-2021,13-09-2021,14-09-2021,15-09-2021,16-09-2021,17-09-2021,18-09-2021,19-09-2021,20-09-2021,21-09-2021,22-09-2021,23-09-2021,24-09-2021,25-09-2021,26-09-2021,27-09-2021,28-09-2021,29-09-2021,30-09-2021,01-10-2021,02-10-2021,03-10-2021,04-10-2021,05-10-2021,06-10-2021,07-10-2021,08-10-2021,09-10-2021,10-10-2021,11-10-2021,12-10-2021,13-10-2021,14-10-2021,15-10-2021,16-10-2021,17-10-2021,18-10-2021,19-10-2021,20-10-2021,21-10-2021,22-10-2021,23-10-2021,24-10-2021,25-10-2021,26-10-2021,27-10-2021,28-10-2021,29-10-2021,30-10-2021,31-10-2021,Mean Vaccination
Bishnupur,124762,125890,127729,129740,131533,133106,134589,135720,137264,138846,139982,141414,142438,143812,144048,144290,144703,145126,145454,145990,146587,146692,147202,147827,148367,148761,149070,149797,149908,150416,150971,151383,151852,152307,152661,152675,153054,153562,154012,154389,154916,155145,155145,155455,155778,155952,156237,156895,156953,156953,157295,157558,158185,158609,159170,160083,160083,160674,161087,161419,161419,163259,163500,163500,164914,165632,166149,167362,168347,169428,169428,170946,171772,172767,173672,174047,175693,175693,177521,178356,179764,181041,183071,184329,184329,186278,187128,188503,190242,191899,193693,193693,158249.0
Chandel,30160,30436,30934,31260,31447,31787,31920,31985,32234,32356,32434,32545,32615,32633,32633,32682,32724,32838,32909,33015,33161,33225,33356,33470,33616,33819,33942,34109,34200,34328,34515,34744,34895,35042,35161,35161,35267,35371,35426,35496,35557,35606,35622,35752,35843,35927,35983,36070,36103,36103,36191,36287,36353,36421,36786,36888,36888,37041,37137,37209,37225,37399,37516,37516,37694,37791,37913,37986,38092,38133,38133,38250,38427,38553,38797,38948,39187,39290,39481,39691,39851,40004,40225,40284,40396,40752,40850,41151,41295,41577,41692,41831,35995.0
Churachandpur,114136,115492,116165,116815,117400,117974,118761,119496,120103,120448,121024,121553,121633,122382,122418,123721,124172,124432,124674,124955,125341,125599,125810,126092,126267,126545,127562,128504,128793,129719,130446,131875,132582,133644,134570,134960,135689,136373,136887,137326,137747,138056,138493,138986,139480,140047,140450,141328,141553,141762,142317,142754,143319,144402,145109,146255,146596,147254,147982,148482,148997,149326,150057,150262,151060,151645,152162,152552,153106,153182,154080,154725,155151,156342,156942,157443,158328,158694,159574,160172,160261,160887,161591,162376,162550,163106,163702,164353,164736,165430,166058,166455,140435.0
Imphal East,278453,281310,282892,285665,287180,290299,291373,291374,293765,295518,297516,298479,299134,299773,299773,301743,302603,304201,304821,305620,306518,306521,307894,308569,309663,310427,311795,313165,313165,313165,315120,316505,317303,318907,319988,320070,321653,322585,323726,324249,325735,326697,326697,327996,329168,330225,330640,332181,332673,332773,334383,335178,336669,337833,339849,342059,342059,344186,345828,347327,347327,349373,349923,350069,351795,353293,354922,355475,358339,360054,360054,362475,364000,364650,365714,366044,368733,368733,370959,372235,373125,374759,376710,379008,379008,382809,386114,389867,393054,395855,399128,400579,333878.0
Imphal West,330776,334667,337334,340794,342248,346017,349225,349225,353411,354948,358304,359625,360281,360943,360943,363705,364767,367703,368743,370614,371933,371937,374591,375447,378521,379136,382008,383417,383417,384254,385957,389244,390477,392810,394535,394644,396919,398305,400212,400826,402863,403365,403365,405412,406971,408511,409118,410556,410967,410967,413034,414304,416143,417364,419931,422483,422483,426324,428927,432676,433056,437012,437958,438258,442208,444507,448421,449060,452804,453162,453292,458204,461140,461279,464469,467355,470939,471110,475476,477353,478110,481177,485416,488248,488972,493600,496191,498984,501357,504533,507271,508186,414323.0
Jiribam,26485,26800,27205,27274,27418,27686,27824,27966,28115,28412,28562,28775,28831,28923,28924,29031,29201,29328,29575,29763,29989,30108,30201,30383,30539,30631,30719,30881,31258,31260,31341,31548,31757,31820,31955,32011,32360,32466,32577,32743,32838,32898,32898,32961,33333,34223,34843,34973,35052,35052,35308,36045,36262,36573,36833,37074,37074,37407,37798,38147,38622,38851,39171,39171,39566,39654,39898,40155,40362,40780,40780,41119,41304,41326,41582,41699,41966,41966,42217,42380,42518,42821,42978,43176,43176,43543,43753,43878,44271,44462,45173,45173,35193.0
Kakching,82902,84014,84696,85903,86432,87296,87828,87828,89204,89838,90821,91327,91756,92047,92047,92825,93503,94835,95554,96408,97232,97411,98379,99071,100289,100796,101353,101969,102091,102603,103264,103968,104668,105449,106137,106301,106889,107982,108618,108925,109312,109556,109556,110113,110540,110809,111254,112225,112316,112416,113305,113736,114264,114611,115856,116235,116244,117267,117786,118698,119073,119774,119995,119995,121069,121928,122793,123168,123942,124463,124598,125217,125781,126370,127303,127767,128714,128762,129332,129747,130122,130495,131048,131609,131691,132301,133019,133293,133529,133969,134355,134355,110936.0
Kamjong,10521,10543,10610,10672,10700,10810,10886,10914,10949,10957,10971,11127,11177,11309,11316,11413,11504,11512,11543,11607,11789,11800,11818,11834,11869,11910,11943,12070,12138,12213,12286,12339,12360,12361,12425,12446,12448,12506,12544,12570,12573,12636,12636,12642,12694,12720,12755,12805,12835,12836,12836,12849,12867,12878,12878,12921,13027,13033,13062,13128,13130,13133,13186,13216,13242,13357,13491,13501,13533,13602,13737,13862,13924,14039,14050,14060,14147,14164,14289,14356,14466,14589,14742,14862,15007,15034,15047,15123,15185,15289,15426,15872,12782.0
Kangpokpi,39636,40077,40467,40705,40981,41631,41819,41940,42135,42449,42532,42718,43047,43217,43217,43505,43580,43695,43815,43915,44004,44111,44221,44285,44369,44500,44629,44732,44733,44911,45010,45280,45547,45682,45832,45861,46089,46278,46499,46593,46702,46798,46946,46965,47178,47436,47615,48123,48352,48419,48667,48926,49154,49410,49590,49974,49974,50210,50582,50800,51084,51391,51478,51478,51839,52315,52589,52712,52950,53195,53216,53377,53572,53680,53851,53896,53979,54019,54365,54547,54817,55391,55643,56085,56279,56818,57007,57112,57295,57446,57943,58042,48473.0
Noney,19185,19325,19441,19563,19601,19712,19897,19940,20128,20181,20350,20405,20437,20459,20459,20480,20508,20643,20693,20735,20764,20789,20835,20851,20927,20986,21034,21062,21062,21108,21124,21145,21199,21257,21298,21318,21556,21637,21702,21743,21774,21859,21859,21913,21971,22025,22061,22133,22148,22218,22322,22378,22412,22501,22561,22659,22659,22700,22766,22926,22994,23106,23153,23251,23321,23511,23549,23634,23675,23732,23857,23968,24236,24348,24454,24731,24818,24818,24883,24913,24994,25126,25192,25241,25308,25623,25681,25997,26043,26085,26200,26617,22374.0
Pherzawl,12686,12869,12955,13024,13036,13185,13256,13288,13449,13497,13598,13637,13737,13775,13828,13983,14308,14355,14456,14485,14649,14734,14966,15051,15088,15134,15194,15262,15518,15660,16031,16140,16254,16355,16485,16610,16857,17263,17282,17485,17566,17623,17623,17698,17801,17869,17903,17938,17966,17996,18117,18243,18336,18483,18554,18554,18554,18614,18858,18924,18924,18982,19078,19258,19323,19381,19381,19381,19473,19569,19569,19628,19843,19998,20260,20377,20403,20441,20738,21029,21076,21120,21177,21413,21539,21719,21853,21971,22116,22168,22253,22305,17483.0
Senapati,28444,28675,28832,29067,29193,29358,29513,29671,29795,29888,29953,30068,30155,30236,30257,30371,30436,30734,30877,30992,31044,31067,31184,31249,31465,31637,31825,32003,32023,32170,32322,32501,32627,32768,32928,33254,33443,33585,33718,33786,33935,34034,34089,34272,34393,34724,34864,35069,35092,35132,35372,35504,35700,35831,36073,36203,36203,36480,36738,37063,37228,37357,37517,37544,37849,38143,38460,38698,39216,39361,39687,40114,40521,40893,41507,41688,41907,42144,42383,42576,42828,43018,43236,43654,44170,44466,44722,44881,45491,45797,46139,46535,35648.0
Tamenglong,20203,20449,20568,20824,21127,21338,21735,21889,22397,22727,23037,23188,23378,23410,23410,23497,23514,23660,23882,23901,23936,23936,24073,24158,24244,24304,24347,24418,24418,24527,24752,24818,24861,24931,25013,25013,25148,25190,25223,25273,25337,25353,25356,25434,25559,25614,25671,25729,25761,25761,25982,26040,26054,26162,26250,26325,26349,26499,26584,26673,26910,27022,27022,27022,27172,27243,27339,27347,27486,27570,27600,27849,27933,27989,28035,28135,28272,28318,28396,28454,28543,28607,28685,28914,28914,29165,29339,29489,29714,30028,30163,30292,25698.0
Tengnoupal,26279,26458,26579,26861,26962,27079,27242,27633,27793,27980,28042,28182,28268,28430,28430,28507,28625,28757,28813,28874,28985,29154,29242,29317,29388,29429,29477,29585,29701,29775,29830,29877,29985,30048,30131,30270,30330,30433,30502,30540,30595,30701,30712,30764,30792,30827,30864,30961,31005,31048,31169,31220,31281,31353,31439,31571,31845,32061,32223,33136,33324,33471,34350,34465,34656,34705,34812,34849,34935,35134,35426,35509,35643,35693,35762,35762,35896,36036,36116,36188,36409,36553,36637,36728,37103,37228,37359,37519,37737,37888,38175,38372,31824.0
Thoubal,154096,155383,156501,157394,158162,158975,160014,160046,161539,162243,163254,163508,163858,164257,164257,164919,165320,166064,166561,167199,167483,167483,167998,168176,168774,168949,169509,170381,170381,170913,171663,172328,172643,173229,173753,173873,174522,174927,175358,175589,176006,176244,176244,176675,176957,177331,177505,177904,178022,178022,178486,178681,179191,179501,180252,180945,180945,181718,182036,182714,182714,183497,183845,183845,184363,184977,185714,186024,186622,187265,187265,188647,189243,189576,189963,190145,191008,191008,192327,192790,193726,194213,195319,196635,196635,198134,199026,199648,200260,201787,203564,203587,177937.0
Ukhrul,22006,22122,22363,22596,22820,23102,23460,23657,23837,23994,24210,24333,24527,24630,24650,24782,24912,25122,25356,25515,25819,25996,26096,26369,26588,26694,26975,27144,27222,27422,27521,27598,27755,27845,27920,27946,28020,28145,28213,28276,28367,28457,28503,28572,28631,28693,28763,28952,29011,29112,29195,29268,29460,29611,29677,30062,30155,30319,30539,30719,30878,31064,31121,31346,31568,31774,31860,31923,32047,32121,32282,32417,32561,33129,33235,33387,33593,33826,33950,34079,34151,34323,34559,34652,34815,35080,35187,35468,35754,36072,36628,36952,29146.0
East Garo Hills,40145,40997,41894,42555,43419,44308,44814,44820,45754,46562,47427,48180,48677,49226,49229,50004,50822,51591,52430,53180,53653,53667,54237,54619,55044,55433,55782,55984,55984,56325,56557,56733,56961,57149,57241,57241,57413,57536,57716,57804,57945,58059,58062,58244,58432,58607,58901,59154,59169,59201,59390,59592,59888,60080,60260,60330,60339,60605,60816,60985,61151,61478,61557,61558,61865,62225,62368,62641,62971,63083,63083,63337,63566,63812,64203,64475,64582,64582,65021,65209,65556,65917,66251,66397,66397,66599,66987,67396,67803,68218,68303,68303,57762.0
East Jaintia Hills,57301,58039,59226,59516,60572,61615,62045,62047,62849,64264,64437,65650,66353,66862,66862,67933,69214,69475,70385,71225,71642,71642,72374,73134,73404,74129,74612,75147,75148,75616,76110,76277,76738,77049,77279,77279,77599,78260,78479,78980,79614,79903,79903,80233,80784,80985,81613,82108,82163,82163,82632,83322,83441,83992,84403,84622,84622,85032,85503,85680,86111,86441,86602,86602,86912,87708,87839,88436,88862,89012,89012,89452,90168,90269,90937,91330,91430,91430,91832,92685,92895,93575,94155,94244,94244,94849,95979,96282,97093,97572,97691,97691,80205.0
East Khasi Hills,341122,343670,345629,348202,350582,353519,355908,356227,358699,361217,364415,366754,369739,372006,372007,372086,372270,373770,376633,379886,382157,382238,384663,386326,388347,390028,391919,393780,393881,395786,396791,398265,399529,402232,404824,404978,408411,411343,415093,419599,425169,429943,430302,435468,439495,443517,447453,453548,455264,455651,460196,463181,466443,469701,473498,476294,476499,479701,482476,485015,487208,489943,491352,491513,494446,496830,499237,501327,503994,506373,506508,509042,511071,513194,514824,516910,518433,518487,520848,523055,524773,526578,529189,531289,531362,533662,535731,537657,539532,542030,543890,543907,444212.0
North Garo Hills,51667,52619,53911,54727,55697,56538,57699,57752,58439,59513,60241,61249,61855,62727,62788,63408,64167,64910,65842,66381,67001,67001,67606,68088,68471,68846,69084,69359,69384,69710,70087,70265,70579,70759,71009,71009,71239,71439,71620,71792,72000,72130,72130,72363,72613,72965,73291,73602,73698,73698,74013,74248,74624,75069,75296,75479,75479,75774,76025,76405,76647,77076,77217,77234,77702,78148,78564,78907,79345,79726,79751,80364,80976,81436,81961,82415,82746,82746,83488,84164,84715,85355,86349,86734,86753,87364,88433,89028,89703,90457,90963,90963,73096.0
Ribhoi,86121,86959,87715,88434,89864,90795,91534,91717,92436,93696,94502,95292,96035,96641,96753,96901,97085,97362,98772,99769,100500,100591,101168,101953,102425,102988,103442,103871,103931,104409,105084,105442,106051,106586,107156,107160,107832,108615,109174,109471,110111,110803,110803,111510,112411,113107,113629,114528,114829,114830,115612,116502,117235,117743,118251,118803,118862,119686,120719,121195,121951,122523,122833,122835,123747,124468,125286,126100,126897,127310,127321,128151,129125,129745,130390,130958,131533,131534,132516,133200,134020,134923,135709,136133,136133,136782,137783,138506,139123,139927,140429,140509,113867.0
South Garo Hills,35311,35657,36145,36795,37144,37556,38027,38068,38359,38980,39447,39984,40347,40722,40857,41445,42336,42947,43544,44208,44695,44800,45263,45872,46240,46551,46897,46980,47053,47247,47507,47589,47731,47831,47982,48015,48187,48446,48723,48948,49183,49325,49376,49609,49872,50166,50538,50915,50986,51032,51258,51523,51907,52160,52325,52475,52549,52756,52901,53116,53314,53489,53543,53576,53711,53848,54043,54290,54400,54504,54524,54689,54910,55078,55394,55692,55839,55840,55991,56341,56557,56822,57108,57357,57365,57618,58119,58305,58533,58699,58960,59040,49369.0
South West Garo Hills,68601,69922,70422,71376,71940,72975,73152,73152,73840,74860,75753,76626,77681,77912,77912,79202,80100,81009,81675,82503,82809,82811,83780,84098,84746,84980,85619,85688,85688,86134,86268,86580,86652,86876,86921,86921,87298,87474,87870,88107,88490,88526,88526,89031,89306,89961,90226,90714,90724,90724,91500,91818,92576,92871,93655,93699,93699,94661,94989,95846,96110,96861,96916,96916,97911,98289,99195,99759,100319,100481,100481,101142,101444,101727,101942,102141,102187,102187,103404,103940,105080,105791,107002,107129,107174,108390,108732,110177,111037,111994,112607,112607,90984.0
South West Khasi Hills,31651,32156,32487,32827,33111,33501,33805,33805,34281,34925,35292,35800,36427,36894,36894,37159,37483,37879,38263,38538,38906,38906,39329,39817,40422,40801,41125,41506,41506,41600,41795,42053,42250,42364,42778,42778,42900,43014,43262,43415,43648,43894,43894,44103,44252,44464,44631,44846,44897,44897,44968,45114,45260,45420,45603,45915,45915,46088,46255,46342,46484,46647,46749,46749,46871,47059,47257,47344,47462,47685,47685,47841,48143,48292,48498,48800,49033,49033,49296,49426,49599,49649,49783,49876,49876,49953,50026,50199,50321,50411,50489,50489,43382.0
West Garo Hills,213650,215524,218032,219372,221491,223190,224887,224990,227407,229925,231395,233447,234812,236230,236230,238062,240110,241614,243243,244139,245393,245398,246696,247374,248000,248565,249146,249901,249904,250455,250910,251362,251658,252159,252831,252840,254034,255176,256187,257695,258962,260205,260260,262188,264081,265461,267459,269429,270126,270243,272473,273934,275557,277491,278686,280148,280162,282297,284147,286081,288047,289317,290008,290075,291994,294504,295983,297859,299189,301466,301523,302983,304972,306238,307633,308030,309096,309103,310681,312854,314185,316083,317363,319858,319885,321434,322972,324906,327438,328433,329348,329387,271040.0
West Jaintia Hills,87168,88226,89379,90039,91440,92777,93793,93793,94548,95437,95830,96803,97390,97752,97753,98397,99239,99552,100460,101258,101755,101755,102276,102911,103099,103617,104200,104442,104442,104965,105315,105431,105916,106267,106396,106396,106919,107486,107752,108274,108759,108993,108993,109417,109865,110092,110590,111256,111305,111305,111808,112485,112699,113409,113875,113991,113991,114609,115110,115324,115807,116293,116484,116484,117184,118119,118392,119601,120295,120709,120709,121508,122398,122791,123646,124303,124342,124342,125106,125653,126003,127200,128137,128284,128284,129168,129890,130269,131158,131812,132175,132175,110948.0
West Khasi Hills,76691,77406,78522,79817,81316,82353,83054,83054,83942,85170,86206,87577,88486,89187,89198,89198,89279,89358,91463,92219,92733,92855,93378,94270,95057,96029,96882,97230,97244,97904,98424,98782,99346,99844,100330,100331,100977,101559,102027,102777,103273,103452,103452,103903,104472,104960,105528,105988,106088,106089,106618,107042,107541,107915,108327,108668,108668,109144,109726,110152,110454,110759,110942,110942,111342,111794,112099,112558,112935,113145,113193,113569,113956,114349,114844,115255,115425,115425,115950,116353,116752,117332,117676,117809,117812,118096,118417,118881,119371,119758,119997,120018,103040.0
Aizawl,232042,232808,233101,233710,234763,236529,236714,236714,237316,237983,238646,239390,240292,240321,240321,241514,242520,243610,244459,244998,245015,245015,245694,246198,246621,246932,247325,247345,247345,248066,248773,249318,250022,251033,251047,251047,256419,261071,265985,269546,270438,270641,270641,271648,278164,284528,286468,290981,291064,291064,293903,298431,301250,303402,305309,305459,305459,308149,309335,313633,316362,317577,317945,317945,318460,320043,321480,323122,325079,325088,325088,326545,327392,327736,329449,329462,329499,329499,330328,330338,330821,331193,331490,331494,331494,331943,332294,332918,333520,334217,334282,334282,283869.0
Aizawl,162045,162158,162307,162348,162523,162481,162506,162506,162690,163295,163487,164305,164383,164383,164383,164503,164724,164828,165258,165543,165511,165511,165949,166182,166330,166416,166734,167007,167007,167294,167542,167661,167816,168026,168037,168037,169298,174123,176936,180872,184178,184194,184194,187608,188094,191274,194650,198211,198226,198226,202372,203881,205517,207401,208724,208738,208738,209173,209894,210718,211271,212518,212518,212518,212944,213581,213777,214101,215001,215010,215010,215397,215908,216729,217523,217827,217827,217827,218091,218091,218678,219070,219614,219622,219622,220137,220359,220858,221014,221014,221017,221017,191005.0
Champhai,89589,89731,89925,90049,90283,90724,91339,91339,91797,92369,93563,94403,94820,94820,94820,95043,95320,95537,96177,96566,96300,96300,96583,96583,96782,96825,96982,96982,96982,96982,97171,97171,97811,98320,98382,98382,98549,98618,98840,99159,99962,99990,99990,100791,101589,102876,104835,106088,106362,106362,107862,109996,111264,112728,114082,114730,114730,115385,116626,118223,118653,118853,118853,118853,119833,120462,120739,121709,122452,122452,122452,123359,124233,125251,125641,125717,125915,125915,126092,126092,126665,127479,128397,128457,128457,128654,128824,128917,129039,129266,129373,129373,108357.0
Kolasib,55769,55769,55899,56109,56535,56941,57088,57088,57712,57999,58412,58878,58951,58951,58951,59354,59698,59698,60428,60820,60854,60854,61018,61265,61412,61457,61619,61830,61830,61949,62338,62475,62743,63198,63802,63802,63934,64117,64340,65497,65882,66033,66033,66186,66767,66965,67411,68291,69014,69014,69014,69147,70137,71672,72944,73610,73610,73884,75527,76043,77318,77552,77747,77747,77844,78105,78434,79597,80364,80474,80474,80688,80983,81380,81713,81713,82007,82007,82097,82097,82097,82512,82735,82735,82735,82981,83029,83231,83596,83626,83626,83626,69624.0
Lawngtlai,46188,46312,46539,46633,46684,47049,47101,47101,47206,47584,48203,49116,49809,49943,50070,50777,51151,51394,51631,51723,51831,51831,52139,53119,53378,53389,53544,53556,53556,54004,54004,54055,54669,55833,55974,56149,56806,57731,57734,58917,59654,59659,59659,60636,61655,62538,63011,63130,63130,63130,63851,64829,65222,66378,67001,67637,67923,68558,69502,69813,70247,70339,70361,70361,70658,70890,71157,71425,71461,71508,71664,71910,72266,72343,72784,73571,73816,73936,74460,74725,75551,76124,76902,77074,77144,78360,79565,80493,81041,81598,81618,81747,62374.0
Lunglei,112394,112785,113281,113281,113991,114955,115710,115710,116138,116266,116625,117011,117525,117929,117929,118378,118425,118639,118952,119226,119225,119225,119450,120286,120531,121013,121439,121439,121439,121628,122068,122068,122680,123160,123261,123261,123892,125671,125840,127042,128011,129900,129900,132444,135313,137832,139221,141964,142033,142033,143591,144644,147183,148126,148865,149048,149048,150570,151833,152591,153503,154346,154346,154346,155379,156747,157781,158845,159447,159672,159672,161800,163354,164328,164596,164842,164842,164842,165420,165420,165827,166364,166671,166671,166671,167072,167470,168081,168151,168427,168427,168427,139410.0
Mamit,51174,51196,51248,51697,51867,52716,53554,53554,54214,54755,54756,54830,54916,54916,54916,55010,55031,55088,55088,55088,55088,55088,55155,55310,55524,55813,56344,56344,56344,56344,56344,56371,56403,56403,56823,56823,56876,57367,57722,58034,58967,58967,58967,59309,60613,60757,61034,61947,62184,62184,62457,63614,64279,64583,64845,64891,64891,65136,65865,66301,66554,67268,67268,67268,67329,67506,67653,67892,68479,68614,68614,68614,68819,68866,69966,70269,70440,70440,70440,70440,70547,70547,71001,71001,71001,71627,71956,72250,72283,72551,72551,72551,61810.0
Serchhip,54297,54559,54557,54677,54841,54936,54936,54936,54931,54941,55149,55323,55540,55540,55540,55540,55566,55846,55904,56042,56047,56047,56073,56091,56252,56252,56703,56849,56849,56849,56849,57272,57272,58180,58221,58221,58544,59205,59639,60053,61436,61648,61648,62653,63635,64685,65959,67552,67554,67554,67931,68310,69215,69866,72631,72631,72631,73247,73247,73532,73761,74474,74474,74474,74810,74849,74906,75302,75867,75877,75877,76088,76762,76854,76929,76929,76959,76959,76959,76959,77175,77175,77443,77512,77512,77515,77661,77821,77893,77979,77979,77979,65830.0
Saiha,37458,37797,37895,38582,39095,39143,39318,39420,39715,39740,40287,40516,40748,40997,41235,41353,41355,41355,41391,41455,41596,41596,41851,42008,42142,42242,42242,42242,42242,42453,42658,42658,43033,43114,43114,43114,43114,43223,43738,44414,44731,44731,44731,44731,44867,45938,46656,47434,47434,47434,47831,48521,48858,49001,49152,49199,49199,49537,50271,50390,50558,50711,50787,50787,50787,51267,51577,51741,51890,51890,51890,51890,52188,52425,52634,52634,52822,52822,53192,53406,53406,53426,53426,53426,53426,53557,53694,53694,54161,54454,54571,54610,46587.0
Dimapur,260968,262786,264538,266269,267428,269075,269481,269481,271242,273577,275730,276640,278219,278830,278830,280216,281922,283566,284380,285688,286126,286200,287608,289294,291133,292032,293793,294377,294377,295193,297420,299553,301309,303816,304479,304479,307738,311077,314494,316839,319837,320613,320613,323652,327278,330711,332911,336218,336681,336681,340604,345165,349981,352943,356818,357839,357839,361727,366127,370616,373206,376639,377760,377760,381607,385810,389502,392106,395857,396722,396723,400636,404719,408576,408753,409107,410328,410328,414482,416964,420992,423115,426995,428349,428349,431686,435300,438727,440264,442777,443906,443907,341598.0
Kiphire,15295,15476,15534,15570,15598,15621,15621,15621,15699,15729,15741,15749,15788,15798,15834,15943,16015,16088,16120,16120,16120,16153,16258,16311,16355,16364,16386,16386,16391,16457,16478,16478,16478,16478,16478,16478,16607,16721,16811,16838,16911,16921,17005,17150,17197,17224,17246,17266,17266,17528,17630,17680,17708,17746,17800,17816,17875,18066,18129,18262,18301,18328,18328,18728,18879,18982,19002,19034,19082,19082,19407,19640,19721,19895,19936,19970,19990,20139,20355,20376,20463,20520,20560,20586,20685,20830,20872,20929,20949,20973,20973,21158,17729.0
Kohima,116836,117338,117654,118267,118786,119176,119370,119401,119977,120728,121425,121887,122278,122346,122346,122975,123921,124445,124841,125124,125158,125158,125742,126688,127353,128083,128592,128670,128679,128793,130184,131547,132331,133664,133837,133864,135927,138026,140482,142506,144992,145171,145380,147340,148992,151737,153415,155037,155117,155348,156926,157975,160342,161963,163131,163242,163350,164610,165603,167654,168782,169867,169921,170029,171260,172100,174045,175040,175962,175991,176015,177263,178278,179862,179938,180034,180106,180106,181504,181510,183000,183994,184728,184813,184813,185750,186287,187134,187707,188260,188360,188360,151332.0
Longleng,24706,24941,25107,25179,25188,25187,25199,25224,25328,25711,25782,25827,25847,25847,25866,26154,26506,26662,26696,26696,26696,26696,26991,27077,27115,27131,27184,27184,27211,27373,27723,27911,28091,28091,28091,28091,28369,28666,28863,28917,28917,28917,28917,29056,29403,29693,30003,30670,30816,31864,32263,32448,32786,32900,32900,32900,33681,34031,34153,34325,34357,34357,34357,34502,34697,34810,34973,35140,35140,35140,35140,35320,35505,35547,35547,35547,35547,35547,35699,35774,35796,35816,35816,35816,35816,35957,35987,36002,36023,36023,36023,36023,30777.0
Mokokchung,83266,83627,83895,84011,84520,84868,85105,85113,85555,86012,86323,86702,86901,86943,86947,87364,87880,88208,88486,88664,88680,88713,89024,89535,89772,90092,90253,90253,90253,90494,91054,91584,92061,92445,92584,92586,92918,93466,94672,95986,96821,96903,96903,97908,98510,99439,100286,101306,101427,101594,103167,104137,105631,106472,107641,107872,107872,108701,109203,109988,111182,112045,112495,112562,113012,113256,113862,115066,115774,115983,116029,116523,116914,117741,118550,118705,119175,119175,119590,119767,120241,121005,121663,121754,121756,122144,122305,122691,123316,123924,123928,123928,102116.0
Mon,78085,78895,79690,79992,80445,80663,80709,81056,81374,81832,81962,82322,82848,82848,82848,83561,84126,84518,84629,84715,84929,85003,85624,86226,86363,86690,87356,87356,87819,88289,88998,89268,89464,89957,90570,91111,92003,93076,93587,94266,94999,95652,96161,97230,98003,98476,99190,100118,100160,100391,101216,101702,102319,102627,102841,102841,103261,104094,105068,105728,106146,106521,106521,107432,107847,108157,108420,109084,109757,109890,110831,111521,112372,113030,113030,113030,113666,113897,114355,114688,114922,115387,115864,115943,116278,117074,117288,117471,117830,118305,118337,118385,98266.0
Peren,21962,22111,22191,22253,22270,22331,22331,22351,22456,22686,22880,22974,23078,23094,23094,23194,23535,23657,23691,23926,23970,24010,24236,24376,24613,24659,24724,24767,24776,24814,25073,25249,25381,25471,25471,25471,25705,26012,26115,26225,26354,26391,26438,26651,27146,27301,27370,27563,27585,27695,28019,28099,28240,28464,28664,28831,28831,29000,29169,29363,29455,29535,29664,29664,29769,29922,30065,30232,30375,30447,30513,30631,30785,30891,30891,30912,30926,30967,31157,31337,31479,31601,31620,31668,31668,31935,32144,32213,32271,32363,32440,32470,27243.0
Phek,37912,38048,38099,38143,38217,38311,38321,38395,38598,38709,38740,38777,38803,38940,38980,39133,39292,39485,39563,39598,39610,39610,39750,39939,40123,40269,40314,40314,40433,40622,40820,41128,41485,41619,41743,41953,42334,42704,42882,43078,43207,43517,44096,44720,44988,45311,45399,45561,45581,45878,46090,46201,46398,46504,46591,46758,47070,47386,47544,47631,47872,48004,48117,48366,48698,48883,48961,49075,49116,49229,49349,49583,49738,49869,50014,50031,50114,50282,50719,50789,50920,51076,51179,51196,51392,51565,51635,51702,51776,51798,51798,51987,44740.0
Tuensang,43210,43270,43332,43495,43501,43582,43610,43610,43711,43886,43887,43911,44130,44130,44165,44526,44874,44891,44932,44957,44996,45151,45524,45829,45874,45925,46030,46061,46070,46269,46637,46753,46847,46956,46966,47448,47859,48139,48579,48878,49167,49212,49833,50185,50408,50417,50417,50723,50723,50981,51227,51412,51530,51618,52035,52700,53012,53438,54152,54686,55392,55962,55962,55962,56246,56568,56568,56578,56773,56773,57436,58347,58915,59245,59776,60485,60759,62162,62718,63519,63529,63686,63895,63896,64224,64471,64569,64569,64578,64686,64692,64855,51936.0
Wokha,42502,42687,42771,43088,43183,43247,43586,43680,43958,44344,44525,44599,44649,44649,44649,44853,45275,45461,45571,45731,45785,45808,46099,46379,46612,46702,46769,46769,46769,47083,47500,47719,47831,48102,48102,48188,48716,49012,49440,49661,49870,49870,49911,50200,50734,50943,51050,51253,51253,51253,51519,51732,52104,52397,52537,52542,52554,53069,53545,53748,54048,54225,54681,54692,54944,55195,55408,55558,55752,55752,55782,56008,56179,56343,56343,56343,56438,56438,56755,56822,57166,57375,57478,57518,57519,57720,57792,57910,58105,58352,58472,58715,50782.0
