District,01-08-2021,02-08-2021,03-08-2021,04-08-2021,05-08-2021,06-08-2021,07-08-2021,08-08-2021,09-08-2021,10-08-2021,11-08-2021,12-08-2021,13-08-2021,14-08-2021,15-08-2021,16-08-2021,17-08-2021,18-08-2021,19-08-2021,20-08-2021,21-08-2021,22-08-2021,23-08-2021,24-08-2021,25-08-2021,26-08-2021,27-08-2021,28-08-2021,29-08-2021,30-08-2021,31-08-2021,01-09-2021,02-09-2021,03-09-2021,04-09-2021,05-09-2021,06-09-2021,07-09-2021,08-09-2021,09-09-2021,10-09-2021,11-09-2021,12-09-2021,13-09-2021,14-09-2021,15-09-2021,16-09-2021,17-09-2021,18-09-2021,19-09-2021,20-09-2021,21-09-2021,22-09-2021,23-09-2021,24-09-2021,25-09-2021,26-09-2021,27-09-2021,28-09-2021,29-09-2021,30-09-2021,01-10-2021,02-10-2021,03-10-2021,04-10-2021,05-10-2021,06-10-2021,07-10-2021,08-10-2021,09-10-2021,10-10-2021,11-10-2021,12-10-2021,13-10-2021,14-10-2021,15-10-2021,16-10-2021,17-10-2021,18-10-2021,19-10-2021,20-10-2021,21-10-2021,22-10-2021,23-10-2021,24-10-2021,25-10-2021,26-10-2021,27-10-2021,28-10-2021,29-10-2021,30-10-2021,31-10-2021,Mean Vaccination
Gaurela Pendra Marwahi,120204,120346,120408,121233,121475,124222,126856,127149,129161,129884,130686,130859,132188,133491,133491,134167,135475,136446,137836,138006,138611,138612,139315,139949,140143,141391,142717,143754,144410,144768,145885,147483,148875,148968,150319,151413,152775,153730,154812,154856,155218,156172,156196,157168,157966,159478,160922,162906,164624,166592,171428,175291,180182,185011,189151,193066,194827,195883,196778,197323,197741,197909,198055,198055,199640,201448,202838,205375,207758,210169,212766,215044,216729,217916,219349,219373,220553,222175,223937,225891,227605,256360,257776,259260,260630,262450,263933,265268,266853,267874,268708,269262,177405.0
Janjgir Champa,533341,535050,535441,539529,541410,558698,565587,565599,568129,569482,569895,580391,580941,581464,581464,581752,594133,597418,598864,599022,599247,599247,599572,599718,599850,612373,617325,618650,628540,629436,635725,646157,658225,659962,672063,677388,680477,681453,693354,694073,694560,707387,717031,730337,736559,743989,767064,796715,814819,839443,867741,884757,893626,919327,932952,937331,937538,937731,940693,944379,963492,973192,975557,975875,996592,1008336,1019450,1029134,1034739,1039117,1041395,1048354,1050356,1051511,1052227,1052227,1059172,1064245,1072811,1078931,1087237,1124186,1129582,1135262,1137133,1169489,1181399,1192043,1201092,1205849,1210629,1213692,820638.0
Jashpur,298650,301079,302615,303309,305276,314687,320357,321655,324026,324969,326081,326577,326809,326837,326837,331573,333306,340001,341754,342002,342599,342661,342974,343855,346442,347242,347870,357710,360968,362476,364662,367091,378985,381871,388390,390632,394966,397565,398231,398412,406241,411546,412611,415084,416346,417498,418594,427816,437004,449134,462812,469944,478505,484438,489962,498878,503768,509057,511880,514035,514750,515531,515869,516048,523382,526951,529168,534195,536793,539531,540847,543949,546512,550330,552493,552882,554424,555153,558583,560846,563879,588440,590945,593873,594600,598631,602495,606877,611083,615072,618061,618631,444565.0
Uttar Bastar Kanker,295023,295830,296637,298643,304397,308565,310569,310850,311268,311539,311609,311609,315283,317357,317434,320683,322736,323129,323341,323370,323370,323370,323380,323421,323421,329010,332650,336910,339646,340356,342216,349881,355922,357278,362178,363190,366020,368526,372528,373080,374156,376978,377409,380505,382170,382370,386198,393290,398514,400835,416550,426559,433250,442003,448115,452276,453051,455773,457987,458845,459318,459794,459839,459839,469741,474742,479065,484248,488411,494377,494915,499929,502967,505611,507854,507971,511768,512161,517769,518786,522333,540789,542216,544169,544677,548810,553113,558805,564933,570718,575588,577228,411799.0
Kabeerdham,291126,291778,292631,294488,296646,302844,306813,308627,311887,313097,314379,314876,317117,319335,319395,320890,323131,323938,324305,324515,324807,324863,325672,326736,327264,329343,332602,335253,336489,337604,338996,342331,347246,350520,353330,355640,358579,361872,366233,367823,369956,373032,373983,376680,380301,382252,385773,392455,397443,401643,407155,412983,422863,431809,438699,443999,447527,451572,456467,458614,459784,460700,461130,461202,465121,470870,471462,472445,473174,477775,481195,484777,489053,490884,491991,492161,493756,494642,497552,502603,508290,529835,534941,538930,540469,542854,548708,555417,561535,567721,573440,575856,406853.0
Kondagaon,189666,190912,192470,193985,194658,196284,197048,197157,197312,198219,199955,201130,202477,202930,202947,203377,204041,204808,206411,206626,207892,208095,209449,210348,211205,211989,213056,213856,214001,214001,214528,215719,217358,218081,219943,220599,223726,227113,229710,230623,232974,236614,236816,238533,240333,240459,242699,247197,251961,253552,262313,272186,281888,292292,302304,309621,309941,311772,314389,316408,317840,319332,319372,319372,325575,332382,335895,342031,347456,352293,352690,357284,361140,365241,369448,369974,372279,372412,375133,375914,379147,396510,399223,401652,401805,403352,405798,408297,411569,415022,417736,418163,277710.0
Korba,500113,501796,503811,504401,513297,522863,525131,525626,526713,527533,528459,536670,540595,541428,541669,546259,553213,555795,557065,557217,557583,557585,557983,558358,559175,565165,567790,570680,574023,574665,578233,584400,588253,589028,591190,591975,598373,602482,607663,609103,609568,615158,617154,624321,627758,635605,642375,651618,660616,663056,692251,706799,726192,733886,741080,750264,751820,755502,757906,762153,763635,764696,764796,764799,778861,785484,791186,798439,804796,809552,810269,813857,815780,817660,817872,817887,820194,821119,827886,830246,838557,874634,880016,887308,889101,899070,905627,912980,920947,928161,935833,938045,682041.0
Koriya,209650,211475,212813,214156,214978,216621,219019,219825,221882,224039,226683,227808,229004,229751,229856,230072,231979,233451,235203,235489,236354,236431,237575,238485,240564,242333,243305,244346,244840,245032,246257,248473,250580,251558,252692,253080,254904,256564,257524,258642,260494,262387,263657,266491,268895,272369,276234,280767,284284,287604,294884,307893,321982,337169,352681,367085,372738,378393,382679,387389,390779,392917,393759,394405,398848,405773,409137,416049,423204,431078,434763,440303,443692,446310,447535,447776,448902,449712,452520,453793,456315,477590,480055,481589,482308,484085,486798,489329,491962,495769,500964,503680,325990.0
Mahasamund,556619,557261,558834,560306,571394,587323,588502,589178,590778,591746,593235,594588,604842,606727,606745,615851,617961,621392,622514,622989,623370,623382,623917,624289,624563,628263,631271,633525,633713,633943,639065,649107,658984,663866,671493,674419,680571,690089,702356,704746,705801,713587,717745,726569,736700,742877,759342,781752,795097,802601,820564,835955,842947,857033,872803,884918,893200,900539,905361,907491,916260,925145,928482,929998,939090,946037,951863,959817,966760,974129,977042,983894,988623,991552,992740,992934,999051,1001618,1009703,1012843,1019705,1074513,1081542,1087364,1089816,1098871,1109075,1122595,1135244,1147427,1160230,1166698,801709.0
Mungeli,220453,221601,222979,223760,225252,230876,233839,234152,236285,237335,239225,239513,241571,244455,244560,245050,246487,248718,249544,249614,249782,249782,249992,250134,250373,250564,251898,252935,253072,253122,254196,256990,258901,259267,260075,260290,262933,264175,264705,264865,264935,265306,265421,268028,269212,273490,278727,280925,282925,283133,287787,290363,296152,301975,304637,309202,309586,312543,313156,314612,315012,315182,315182,315182,320106,322244,322397,326175,328076,331817,332001,334035,334683,335451,335570,335570,336986,337055,340844,341116,343069,360153,361760,364122,364231,368236,373176,377649,381979,386328,390054,392365,289818.0
Narayanpur,43643,43883,44104,44294,44585,45185,45395,45395,45463,45826,46298,46508,46579,46810,46811,47001,47314,47485,47717,47717,47752,47752,47812,48020,48174,48264,48354,48433,48433,48433,48564,48624,48734,48894,49034,49034,49094,49362,49552,49587,49752,49902,49902,50048,50542,50592,51151,51554,51872,51872,52503,53368,54086,54569,55203,55797,55837,56280,56892,57601,58183,58834,58953,58973,59395,60045,60485,60813,61259,61389,61389,61995,62408,63043,63753,63802,63865,63865,64036,64037,64404,66555,66895,67585,67585,68462,69136,69467,69730,70110,70522,72500,54377.0
Raigarh,1043459,1052791,1065931,1073736,1080513,1096845,1106871,1111340,1122894,1131627,1141096,1155327,1165280,1171371,1172034,1175036,1178583,1184092,1188852,1194732,1199820,1200888,1206169,1209084,1214948,1220434,1222970,1229710,1230501,1234937,1238979,1240627,1247496,1249872,1254784,1255729,1261252,1264803,1268421,1270314,1274535,1280034,1282020,1288787,1293774,1304580,1316668,1329434,1337533,1341474,1377282,1399690,1431624,1459460,1479636,1501338,1511515,1529105,1541760,1553139,1569800,1582016,1592407,1595708,1608706,1619523,1636164,1653679,1665915,1679695,1683771,1695295,1708074,1717892,1726787,1728288,1734394,1737673,1747943,1759777,1772742,1888006,1897220,1909156,1913680,1945868,1963837,1984254,2003961,2020960,2034615,2041632,1434641.0
Raipur,1370713,1377356,1385420,1387708,1415089,1442389,1454809,1459489,1467572,1474766,1505065,1518764,1535662,1551506,1556011,1568256,1579468,1590351,1606329,1614318,1621389,1621391,1634526,1644555,1654182,1661118,1666113,1671387,1680457,1686071,1692067,1707680,1720748,1728574,1740094,1754145,1767801,1779180,1789662,1796362,1802080,1812798,1820425,1831094,1840932,1853813,1868798,1893762,1915301,1940279,1966606,1989344,2007852,2022233,2038912,2052452,2061156,2068746,2086640,2099359,2113548,2130196,2140416,2148435,2163757,2176349,2187264,2197643,2207930,2220885,2227949,2234489,2240267,2244113,2248341,2248362,2252435,2259767,2269880,2278145,2289722,2397185,2408279,2417409,2422201,2432129,2441287,2448837,2456516,2463093,2469454,2473436,1914792.0
Rajnandgaon,788720,793946,797837,802048,807370,818821,827429,829262,834912,838421,842682,844664,849094,855369,855451,860829,865817,871573,874529,874670,878871,878944,889808,895160,902959,911293,919273,926035,927250,931424,940638,953734,967755,972181,985048,987774,995633,1001535,1010730,1014045,1018179,1026805,1030437,1043353,1048549,1061242,1077737,1098777,1124546,1138143,1160090,1175057,1195648,1215692,1229773,1249492,1253980,1261483,1268800,1275393,1289617,1297435,1301685,1303739,1333303,1341615,1347240,1351087,1355354,1366337,1371802,1388334,1394826,1407046,1412481,1413536,1423838,1425465,1440603,1448036,1461027,1509091,1512680,1517883,1518564,1529381,1532899,1540133,1549225,1553881,1558341,1559587,1134052.0
