District,01-05-2021,02-05-2021,03-05-2021,04-05-2021,05-05-2021,06-05-2021,07-05-2021,08-05-2021,09-05-2021,10-05-2021,11-05-2021,12-05-2021,13-05-2021,14-05-2021,15-05-2021,16-05-2021,17-05-2021,18-05-2021,19-05-2021,20-05-2021,21-05-2021,22-05-2021,23-05-2021,24-05-2021,25-05-2021,26-05-2021,27-05-2021,28-05-2021,29-05-2021,30-05-2021,31-05-2021,01-06-2021,02-06-2021,03-06-2021,04-06-2021,05-06-2021,06-06-2021,07-06-2021,08-06-2021,09-06-2021,10-06-2021,11-06-2021,12-06-2021,13-06-2021,14-06-2021,15-06-2021,16-06-2021,17-06-2021,18-06-2021,19-06-2021,20-06-2021,21-06-2021,22-06-2021,23-06-2021,24-06-2021,25-06-2021,26-06-2021,27-06-2021,28-06-2021,29-06-2021,30-06-2021,01-07-2021,02-07-2021,03-07-2021,04-07-2021,05-07-2021,06-07-2021,07-07-2021,08-07-2021,09-07-2021,10-07-2021,11-07-2021,12-07-2021,13-07-2021,14-07-2021,15-07-2021,16-07-2021,17-07-2021,18-07-2021,19-07-2021,20-07-2021,21-07-2021,22-07-2021,23-07-2021,24-07-2021,25-07-2021,26-07-2021,27-07-2021,28-07-2021,29-07-2021,30-07-2021,31-07-2021,Mean Vaccination
Kabeerdham,118230,118272,118543,118661,119108,120104,120602,121247,121496,121916,122306,122816,123546,124048,124650,124683,124919,125117,125617,125761,126132,126494,126893,127440,127883,128687,129321,129758,130210,130462,130783,131362,131646,131949,132260,132687,132823,132881,133048,133240,133425,133621,133892,134064,134203,134409,134553,134907,135142,135363,135556,137184,139305,142219,146051,180401,189833,201574,216793,229762,237854,241136,243254,244250,251708,253709,254410,254633,254663,254663,254763,254876,254884,254884,261188,261787,262264,266076,267978,269363,271136,272072,272751,273410,274878,275638,276413,276793,278174,282087,285282,287758,179724.0
Kondagaon,106480,106846,107414,107712,107998,108591,109238,109472,109563,110002,110616,111293,111848,112543,113296,113397,113600,113724,113807,114068,114242,114354,114613,114796,114863,114946,115018,115089,115237,115309,115748,115972,116113,116195,116411,116543,116576,116722,116833,116949,117098,117141,117186,117225,117252,117275,117323,117355,117365,117392,117392,117787,119331,121549,123494,149060,152108,154674,157936,161232,163735,166884,169904,172454,173307,174175,174831,175084,175365,175470,175490,175510,175642,175693,176815,178204,178617,178964,179004,180690,182246,182859,184150,185233,185656,185658,185974,186495,186954,187506,187863,188654,139090.0
Korba,262708,263478,264532,265101,265803,266251,266455,266726,266904,267280,267669,268116,268555,268969,269565,269704,270041,270745,271588,272226,273380,275401,276812,277763,278339,280057,280441,282284,282863,283023,283355,285156,285764,286097,286378,286732,286823,287017,287187,287343,287459,287610,287756,287781,287867,287933,288040,288179,288332,288420,288500,290568,294500,300296,308866,378088,390189,401330,414516,424621,427096,427641,427816,427939,433196,441085,442861,443155,443266,443398,443586,443586,443694,443782,454682,455267,455410,465374,466802,467172,477126,477954,478847,479438,480333,480667,481457,482163,482902,483309,491800,496174,348527.0
Koriya,104891,105075,105366,105652,106023,106477,106762,106901,106970,107296,107497,107903,108267,108714,109081,109185,109372,109542,109798,110199,110481,110745,110873,111042,111209,111308,111471,112336,113053,113541,113974,114179,114562,114845,114946,115103,115196,115320,115375,115491,115621,115690,115745,115802,115856,115935,116001,116065,116136,116189,116225,117609,119118,121697,125173,153437,158459,161752,167183,171078,174323,176743,178334,178960,179026,179607,183372,185705,188028,188919,189361,189389,189524,189628,193231,193455,195148,195824,195935,196685,199044,200307,201389,202672,203556,203838,204231,204675,205284,205620,205909,207941,143179.0
Mahasamund,233832,234343,234768,235325,235956,237020,238076,238486,238844,239749,240421,241807,243582,245609,246698,246727,246829,246870,246895,247025,247103,247172,247210,247288,247327,247360,247391,247422,247442,247451,247459,247481,247545,247605,247635,247667,247747,247829,247895,248108,248337,248605,248866,249377,249781,250192,250531,250755,250986,251548,252109,257406,264619,274118,287633,371398,385914,395694,397065,398424,399072,406204,409100,422115,423739,424568,424608,424608,442006,455170,458802,459087,459328,459328,473702,475683,475783,482875,484567,498795,508581,511035,512782,514315,515862,517692,525792,530767,534813,542668,547831,549202,335031.0
Mungeli,128322,128362,128415,128473,128581,128694,128767,128825,128913,129001,129093,129236,129493,129962,130039,130088,130132,130159,130194,130213,130223,130245,130254,130272,130275,130275,130278,130281,130304,130315,130318,130319,130319,130337,130340,130362,130362,130377,130419,130434,130445,130484,130510,130508,130529,130544,130556,130569,130603,130628,130629,130869,131154,133679,136827,159476,163731,167730,172702,178529,181746,183578,183881,187526,188618,188908,188938,189068,189118,189208,189258,189258,189258,189258,194770,196842,197618,201444,203464,204452,206461,206953,207635,208046,208332,208555,208675,208776,208816,211798,214919,217380,155919.0
Narayanpur,20711,20717,20828,21016,21196,21548,21874,21943,21979,22053,22176,22227,22327,22332,22372,22379,22392,22483,22558,22610,22632,22666,22667,22691,22695,22699,22706,22767,22781,22783,22788,22791,22806,22835,22842,22859,22859,22861,22865,22867,22873,22878,22880,22897,22901,22910,22910,22921,22921,22939,22938,22999,23262,23492,23793,32113,32329,32666,32894,33195,33516,33756,34203,34471,34491,34811,35287,35790,36376,37335,38146,38442,38984,39445,41023,41469,41816,42016,42046,42247,42467,42478,42657,42803,42923,42923,42995,43074,43128,43190,43190,43378,29052.0
Raigarh,353955,355653,357381,358561,359039,361067,362079,363035,363260,365355,367590,369188,371960,374673,375473,375543,375697,375744,375871,376066,376170,376224,376223,376303,376383,376462,376471,376527,376663,376643,376687,376816,376876,377068,377126,377169,377170,377260,377418,377524,377639,377715,377721,377740,377861,377868,377871,377902,377997,378000,378016,393614,414054,440467,464648,595655,714750,730895,751680,765689,773499,783665,791502,796516,806546,815053,816684,817899,818226,841669,856241,862027,863105,864738,897308,898580,898817,912107,921344,927747,935155,941804,948877,953674,964427,969412,981616,988085,993125,995274,1009471,1023461,575737.0
Raipur,359955,360455,361696,362821,363931,365157,366289,367537,368415,369765,371013,372893,374853,376440,377847,378465,379047,379796,380410,380929,381483,382105,382490,382975,383408,383889,384267,385007,385481,385848,386309,386758,387158,387585,387927,388373,388715,389123,389599,390052,390374,390783,391256,391584,392081,392560,393066,393495,394124,394792,395202,408591,423218,442281,464582,640480,679081,710368,749386,771574,790801,814441,835306,870369,888624,894949,896099,896743,935957,971256,1005099,1013973,1019326,1022740,1049996,1055281,1055875,1092068,1119336,1153361,1181363,1199519,1211968,1221541,1229260,1246260,1267877,1284997,1295952,1312640,1323070,1347824,644011.0
Rajnandgaon,293459,293544,293750,293966,294326,294543,294722,294870,294998,295208,295516,295933,296297,296524,296905,297087,297309,297490,297611,297701,297777,297877,297927,298023,298098,298166,298214,298367,298469,298510,298565,298634,298706,298728,298787,298926,298974,299044,299103,299166,299248,299304,299414,299442,299519,299590,299650,299763,299852,299976,300122,308055,318825,335117,363144,440492,465999,491288,527323,541050,553259,572359,582267,597088,598442,610721,614046,617157,620572,633316,644603,646314,655077,657288,678091,683874,686639,697860,699690,708258,713599,715606,728813,734802,741409,742269,752632,757205,764182,768923,773256,780307,442380.0
Sukma,65765,66188,66524,66608,66689,66706,66736,66806,67028,67288,67807,68377,69046,69160,69758,69823,69873,69976,70002,70103,70158,70190,70192,70279,70313,70368,70374,70442,70476,70476,70491,70508,70514,70566,70595,70598,70606,70606,70608,70650,70674,70729,70873,70898,70958,71018,71038,71024,71030,71030,71030,71351,71656,72146,73013,100301,102330,104674,107609,111195,113253,115161,116630,117608,117800,118790,119939,121058,122122,123378,123868,123965,124611,125225,127933,128585,129090,129275,129340,129765,130636,130792,131220,131817,132065,132067,132251,132381,132684,132907,132949,133345,91373.0
Surajpur,168961,169660,170010,170339,170528,170789,170986,171125,171230,171956,172574,173209,173805,174060,174289,174322,174425,174483,174537,174654,174712,174796,174826,174877,174942,174969,175010,175077,175123,175123,175143,175178,175198,175223,175253,175264,175277,175305,175340,175366,175383,175408,175417,175421,175451,175470,175501,175526,175535,175590,175635,176802,177869,179553,183230,216342,223027,227846,231445,231979,233771,234197,234456,234515,234515,240004,242567,243643,243900,243970,244021,244021,244033,244061,248003,250049,250859,251076,251076,253632,255082,255268,256104,256615,256797,256906,257928,258741,259301,259730,260014,261390,203115.0
Surguja,218637,219023,219926,220418,220917,221696,222363,222815,222951,223561,223804,224255,225070,225737,226672,226825,227017,227126,227243,227302,227406,227473,227522,227624,227668,227775,227795,227872,227941,227972,228067,228189,228393,228553,228625,228763,228800,228930,229115,229283,229391,229564,229713,229873,230146,230374,230569,230700,230907,231110,231214,234104,238243,243533,249688,308251,315610,322950,329326,332041,332974,334065,334459,337378,338367,348393,355291,357441,358791,360080,361014,361082,361243,361298,369873,371811,372395,372636,374031,377560,381762,383831,386793,389250,391890,393084,394865,396267,397337,397744,398035,400099,282561.0
Dadra and Nagar Haveli,39429,39454,39587,39710,39856,39996,40171,40349,40424,40551,40638,40751,41699,42759,44198,45566,47599,47599,48988,51709,54662,57893,60222,62998,65429,67699,70140,72584,75480,76576,78997,81277,83324,85660,88319,91040,91040,93847,96550,98705,101093,105199,109995,110065,114675,118673,121993,125600,129198,134208,134367,138512,142449,146089,150258,168292,175608,178760,187133,196098,205053,212762,221438,230684,234472,242422,249703,256333,262596,269649,277619,280533,286921,293418,301334,306956,313187,317705,318485,321254,324092,326069,328988,331950,335014,335945,338946,342245,345316,348373,351355,355290,159324.0
Daman,28883,28960,29120,29278,29507,29733,30201,30392,30455,30666,30833,31056,32133,33303,34606,35771,36506,36946,38355,40617,42891,44978,46684,49111,51759,54654,57266,60247,62657,64403,67719,70615,73308,74367,75423,79564,79615,82096,84690,87102,89174,93983,100453,100503,100722,103157,105379,107715,110726,116090,116135,120275,123609,126324,129931,150501,157617,160101,166704,172311,179717,184826,188083,192337,192565,194875,196612,198360,200039,201507,203427,203660,205423,206650,209918,210863,211914,213350,213462,214281,215208,215818,216676,217638,218799,218868,219728,220950,222004,223196,224561,226061,120318.0
Diu,11441,11476,11520,11566,11621,11696,11761,11825,11847,11908,11951,11984,12136,12494,12843,13422,13422,13422,13559,15385,16568,17499,18116,18836,19728,20452,21168,21912,22550,22877,23389,24118,25033,25757,26023,26374,26802,27228,27884,28207,28637,29291,29858,30052,30387,30626,30882,30882,30965,31153,31259,31437,31643,32139,32562,39279,40144,40826,41649,42382,42558,42792,43035,43328,43407,43687,43944,44134,44429,44775,45019,45087,45281,45438,45662,45821,46074,46353,46519,46795,47091,47251,47458,47615,47765,47802,47952,48074,48180,48297,48416,48536,30896.0
Central Delhi,254293,254699,261818,269853,277638,287766,297948,311523,311829,326655,338143,347835,358480,358804,367340,375471,386552,397064,407163,416896,423491,428752,429136,433570,438246,442393,444892,448761,452795,453201,457259,461095,462895,467385,471465,477251,479932,484287,486979,490830,494555,497866,501258,502299,504840,506933,508833,511536,514300,517582,518306,521235,525109,536156,553123,745303,768757,769693,791152,811830,829102,845635,860355,879638,880155,889977,894349,896958,913128,921760,930778,931374,937399,949750,953786,957180,966540,970548,971208,973411,977643,983163,989605,993991,998350,999150,1004506,1009301,1012846,1017086,1021532,1018949,627415.0
East Delhi,178534,178519,182547,186552,189692,195110,199381,204750,204716,210018,215464,220016,225347,225645,230540,235598,242960,249084,251062,253091,254763,257156,258617,261345,263085,265412,267488,268698,270631,271421,274036,276359,278423,281392,283578,287210,289578,294110,297252,300387,304371,309855,314319,316682,319398,322859,327560,332791,338045,344207,346197,351225,356997,366031,377120,480346,496632,498427,516394,534001,547462,562281,576803,588556,590172,593630,595592,597268,614087,626263,632905,634669,637148,652995,661142,663155,677499,681686,683024,684951,692478,695980,699865,704210,710772,711976,716903,720512,725530,730606,734940,746131,417655.0
New Delhi,224761,224946,230151,235491,238902,245017,248828,255583,255687,263067,270461,275089,283274,283750,290819,295641,302971,310600,315085,319055,320894,324382,324754,328040,331047,332394,335510,338054,342174,342592,346553,348834,351283,354525,356857,359661,359917,362265,363987,365575,369346,372895,375727,376019,379874,383024,385592,390277,395036,399574,400169,404989,409781,416252,426327,619378,632831,633313,649304,665246,675446,687376,698663,707348,707826,716997,721068,724018,727790,739345,745281,745721,750005,753997,765197,769558,772850,776762,777601,780473,784048,786140,791641,796776,801212,801746,808108,813043,817785,824369,829649,839272,497615.0
North Delhi,179225,179275,185413,191610,197117,205137,211144,219712,219689,227727,235432,240984,249719,249669,257528,266038,274803,282668,287838,290534,291692,292770,292762,293859,294757,295554,296297,296880,298694,298811,300694,301728,302477,303479,304450,306218,306187,306257,306602,306656,307209,311342,315262,315184,319500,323548,329423,334884,340670,346931,347082,352648,358656,365034,380342,510372,533664,533900,558210,579919,592153,607828,623539,644559,644559,656012,659522,661067,675196,689342,696841,696841,698764,706623,719628,721605,724503,727308,727308,728137,731068,734355,737118,738597,743406,743406,747910,749859,752862,757199,760260,763038,445351.0
North East Delhi,135667,135657,138767,143410,147348,152463,156927,162985,162974,170188,177223,182392,188088,188069,193835,199975,207082,214604,220106,226968,233117,238143,238141,239734,241140,241988,243180,244135,245843,245842,247984,249320,250634,252171,253707,255281,255241,257716,259369,260787,262108,267018,271622,271583,273930,274577,279966,284899,289735,292927,292911,297546,302171,310477,322150,430803,447764,447764,466975,483072,493858,504300,515336,530065,530065,540496,543736,543872,554718,564567,568887,568887,569433,580315,584643,585577,594568,595844,595844,596313,601151,604489,606749,607767,610649,610649,612996,614486,616670,619186,621238,621643,364535.0
North West Delhi,313065,313162,319991,327067,333585,345891,355540,367730,367689,381152,392836,400600,411160,411464,421356,431240,443053,454292,462868,471025,474965,479653,480344,484600,488407,490872,494597,496245,498671,499004,502018,504921,507398,510274,513455,516929,519545,523392,523920,524069,531938,538589,542103,543010,548605,552292,553745,560768,568448,575488,576298,581465,587360,597360,610554,821071,840709,841396,865257,887512,902712,921695,936718,953673,954285,963889,966997,969047,992354,1002953,1008800,1009551,1013168,1033814,1043652,1046831,1062495,1067782,1068749,1072206,1081855,1090244,1096516,1099544,1107754,1108825,1115676,1119872,1128153,1136903,1143823,1157116,694127.0
Shahdara,195603,195607,199870,204933,209205,214338,218971,224239,224228,229255,234163,239392,245096,244984,251223,258176,264108,270647,276196,281980,287589,293323,293320,298902,300569,301355,302008,302523,303369,303346,303738,303945,304175,304445,304727,305001,304959,305209,306206,306755,310075,313901,316516,316396,317531,318385,321069,324778,328526,332624,332623,336638,340917,348343,357325,461134,475761,475970,489017,502266,512298,524186,536868,545917,546350,549109,550048,550727,567179,575953,578611,579075,579974,594679,596216,597387,609496,612734,613106,614016,621617,628964,630438,631208,637293,637726,640254,641430,646424,652579,655893,660026,403861.0
South Delhi,253952,254171,259673,264872,270807,277953,284344,292315,292869,300667,308242,313759,320977,322127,330725,339428,350722,362518,370565,375512,381751,388979,390209,397275,404010,411048,418815,426625,433865,438194,445557,453009,460790,469011,476911,485511,488562,495238,501374,506957,511570,525037,539266,542910,549816,553344,557239,565628,575784,586168,588166,593962,603406,614746,628220,827707,848093,849841,868589,888020,903680,916714,931791,947524,949499,955821,960365,963762,966930,983739,1000763,1003125,1008246,1013451,1024903,1029750,1036339,1043312,1045696,1048891,1055512,1061548,1066867,1071841,1080349,1082281,1087840,1092177,1098090,1104638,1110457,1120915,658741.0
South East Delhi,224270,224646,230034,235531,240765,247658,254013,262361,262579,271308,279561,284482,291433,292778,300358,306537,314577,323908,331415,339955,346463,353369,353724,358900,364189,370352,375593,381155,388980,390358,396552,402220,406235,411128,416072,421828,423238,428828,431542,437307,443253,449224,455938,457895,462505,464439,468821,473182,477793,483034,484598,489942,495286,505384,516249,697344,715680,716183,732274,748223,759268,774360,789922,805495,805863,810948,814276,817382,832930,847385,854760,856354,860301,876509,880756,883747,891198,902625,903968,908072,915866,921484,927323,931391,937692,938995,944511,948235,952523,957729,961675,970940,568456.0
South West Delhi,306073,306074,313651,321266,326698,335090,340067,348779,348712,357089,363781,367196,374983,374790,382195,390539,397736,400527,401117,402828,403444,405853,405830,408723,411994,415995,421863,424673,431454,432938,437091,442752,448059,455563,461950,469604,472028,475350,479341,483397,492134,497060,503351,504765,509279,513206,515916,524575,530944,537115,538560,547371,556837,566907,580459,751961,773392,775143,791670,813402,831406,851661,869721,881657,884386,889935,893626,895935,916767,930783,939529,941628,945115,962723,968815,971869,974814,992715,995177,997509,1008157,1018110,1022071,1025172,1038122,1040333,1044083,1046986,1058931,1070626,1078371,1092883,639682.0
West Delhi,346499,346471,354458,362368,368256,376894,384316,394481,394422,405072,414093,420566,429704,429569,438641,446207,455152,463674,468357,471640,473400,475145,475133,477719,479017,479870,480935,481667,482119,482106,483504,484176,484807,485365,486152,486581,486431,486945,488780,488379,495346,500677,503573,504124,505293,506714,508084,514910,522229,528081,528875,536417,544072,553018,566255,776163,796369,797608,815080,833755,846149,855316,872372,888900,889679,896875,898800,900720,918673,928862,933611,934401,938387,942166,954980,960246,964012,974800,975795,979488,986075,994407,999314,1003200,1008002,1009129,1018811,1023539,1027433,1038855,1047700,1056727,655686.0
North Goa,133281,134405,136343,138208,139875,141980,144274,146214,147027,148869,150784,152598,155113,157250,161498,162342,164911,168039,171561,174810,178634,182364,183099,185183,187337,190050,192658,195871,199536,201154,204063,207067,209678,212688,217121,222069,224894,229951,234720,238432,241428,244058,247251,253715,262734,271715,279936,288399,297472,306840,312686,319834,326344,332222,337923,396920,406536,412324,421035,430654,438503,444036,450136,459207,463604,472114,479936,487462,492882,500800,511678,518328,528586,535892,545671,551334,556781,565466,568168,574065,579397,583295,588435,593456,600669,603683,609373,613608,617903,622041,626972,632747,336220.0
South Goa,148724,150155,152462,154700,156704,158683,160932,163120,163928,165714,167568,169653,172533,175740,180745,182273,185646,189463,193550,197151,202106,206899,207788,211425,215090,218259,221440,224236,226983,228239,229792,231218,232712,235423,238932,245460,249253,255220,260732,265458,269951,272839,276545,287314,296932,306210,312783,320678,328906,339596,346495,354712,362448,369467,375791,436916,449606,459148,471185,483359,495519,502957,510594,521476,526876,534874,541499,548642,554606,562246,571811,577736,585189,591794,599305,604548,609928,618966,622470,628524,633963,638702,644083,650411,658072,661702,667604,672509,677626,682542,687497,694354,373865.0
Ahmedabad,341209,342277,343095,345185,347123,348907,351600,353412,354803,356733,359659,361807,364135,364139,364155,364155,364154,364152,364152,364964,365870,366463,367694,368807,370117,371205,372103,373841,376020,377816,379548,380953,382249,383696,390887,397736,403649,410401,416699,423443,431016,438791,448307,454497,462078,469264,475516,481029,488411,495630,499054,516850,527878,538984,549460,665192,673253,677978,681339,688652,696405,702232,708413,720896,727178,735078,740078,740207,740219,740403,746769,752507,758059,764056,764587,770589,777652,789464,789465,798098,806661,806777,817461,825552,830697,840011,840730,854311,855159,869549,878230,885176,549292.0
Ahmedabad,938777,951213,965369,979426,1001598,1015263,1027409,1038245,1046260,1059000,1071909,1090447,1108847,1116420,1124045,1131580,1131661,1131782,1131829,1149275,1166282,1183497,1198864,1233232,1269628,1305932,1343772,1383521,1422910,1459137,1496922,1534916,1574015,1611763,1650005,1689251,1724456,1757434,1792012,1817246,1843069,1870985,1909378,1937599,1973268,2006558,2035991,2060250,2085157,2117247,2136798,2168875,2198431,2231002,2262166,2797084,2825696,2845634,2868551,2894227,2920659,2942299,2968919,3014365,3046671,3081708,3113692,3115070,3116556,3118771,3150533,3178263,3204581,3234525,3241726,3269147,3300380,3341758,3343011,3382512,3428652,3430131,3482998,3522225,3556250,3606205,3616743,3661227,3663289,3714828,3755050,3791254,2197903.0
Amreli,244544,244934,245630,246474,246959,247595,248216,248697,248797,249524,251023,251527,251988,251992,251990,251990,251989,251989,251989,251983,251979,251971,252052,252319,252824,253098,253479,254325,255406,255939,256691,257421,258051,258953,262158,265648,268654,271656,275335,278603,280496,283723,284909,285237,288220,289343,292310,293128,295334,297570,298092,310761,315328,320759,326645,449006,460903,466905,471783,473124,477515,485229,488884,494474,500424,506541,512825,512936,512936,512936,523838,524078,529582,534849,539178,545609,551828,557067,557089,568832,579569,580607,594768,609547,610412,620805,627385,634926,635495,646690,654452,661175,378831.0
Anand,378908,379142,380477,381926,384512,385189,387923,388961,390443,395152,396327,397944,399271,399264,399256,399249,399248,399248,399247,400090,401053,402208,403159,404466,406326,408239,410508,412700,414821,416455,417665,419407,420782,422258,429728,436869,443201,449842,457330,465673,473864,481669,490226,497683,506168,514895,522535,528285,534842,542044,546923,563246,575913,584699,593200,783418,795421,800487,804194,813973,825247,832332,839351,849460,856303,864233,870271,870271,870300,870301,878499,885677,893562,899268,902042,909205,916709,923710,923710,932803,941351,941367,950110,957471,964150,970807,972070,982589,982609,993027,1000382,1006881,625155.0
Aravalli,231068,231487,232391,233079,234013,235103,235621,236201,236514,237519,238906,239843,241065,241074,241079,241080,241080,241080,241080,241337,241444,241667,241818,242228,242777,243052,243433,243877,244324,244776,245351,245650,246140,246539,249744,252916,256181,259646,262958,266097,269194,272349,275291,277864,280550,283436,286299,289018,292493,298080,301910,308101,312610,317900,323458,449647,454469,455876,459209,460330,462399,465537,468695,471727,477057,482515,485507,485507,485507,485507,488629,491296,494540,497755,498602,501613,505248,508973,509002,516033,522855,522943,530424,534617,538253,542106,544519,550529,550558,556967,561643,564835,355231.0
Banaskantha,600852,601859,603195,604999,606386,609001,611936,613896,615702,618127,620805,622441,629766,630297,630331,630330,630330,630329,630329,630853,638779,653296,656887,660578,662796,663959,664963,669868,674317,674993,676572,678187,679348,680645,684286,688986,692860,699410,704235,708369,712627,717801,722233,724942,730155,735416,740160,743916,749495,753235,755786,766722,775897,784921,793500,1011594,1022304,1030870,1041176,1052252,1060789,1068784,1075861,1083026,1087569,1097804,1104453,1104476,1104476,1104476,1114356,1117612,1123009,1129546,1139159,1144894,1156447,1165560,1165591,1179985,1193558,1193641,1215954,1221689,1231816,1242906,1245365,1261348,1261433,1281652,1293183,1306234,864421.0
Bharuch,224643,226665,228585,230944,233001,236147,238755,241284,243982,246330,249813,252241,255532,257061,258240,259280,259279,259279,259282,261784,263987,266145,268331,273153,278874,284772,290387,297310,304775,311260,318003,324173,330506,337387,344748,352045,357923,365616,372762,379137,387107,394829,403627,410019,418359,426114,433742,440202,446748,454325,459130,478708,497039,511481,527073,668509,682637,690288,695717,703768,715108,721323,727011,732849,738500,744991,751954,753427,753532,753676,760187,765932,772037,777788,780135,786878,793499,799587,799653,809072,818479,818895,828520,835650,843767,851080,853793,861881,862211,872396,880422,887031,508958.0
Bhavnagar,240326,242047,243518,244170,246218,248720,249943,251097,252754,253821,257254,259397,260500,260965,261011,261011,261011,261011,261011,261021,261104,261254,261536,262038,263077,264333,265625,266980,268515,270054,271042,272011,273803,275554,281204,286304,291134,295467,299575,303165,308502,314150,320398,325718,332071,338414,344054,347803,352656,357413,361297,371218,380998,388540,396409,501730,509800,514286,518881,523482,528376,535226,541393,548227,553337,565410,572010,572263,572326,572330,579992,585436,591362,597517,604606,610300,617278,624490,624542,631900,645598,646278,663545,675446,683387,689405,697098,703384,703694,718153,727249,736023,416261.0
Bhavnagar,118674,120447,122711,125485,127682,129425,130904,132685,133937,135766,137596,139158,140793,141737,142684,143622,143622,143622,143622,145107,146759,148442,149949,153939,157782,161630,165508,169389,173387,176506,179594,182335,184500,186678,189486,191493,193220,194789,196716,198717,201096,203158,206436,208608,210462,212685,214669,215635,216791,218834,219848,222165,225546,229316,231745,310345,315059,318086,321198,323155,326871,330216,333306,339764,341475,344998,348180,348190,348200,348210,351575,354414,357146,360102,361028,364497,367724,371061,371061,376184,381287,381290,387040,390620,394036,397867,401139,404359,404379,408433,411848,415221,248333.0
Botad,55337,55663,56119,56820,57628,58669,59191,59896,60159,60933,62089,62692,62982,62999,63005,63005,63005,63005,63005,63015,63225,63677,64126,64713,65309,65808,66588,67540,68230,68599,69210,69825,70119,70721,72685,74911,77131,79370,81693,84036,86303,88678,91110,93179,95564,97813,100311,101475,103838,107768,108741,114142,119462,124283,125888,167749,172288,175986,177603,181807,183356,186450,190885,195912,199294,205535,208871,208958,208988,208988,216299,217590,223343,224762,225485,228357,232851,234020,234020,240291,246279,246495,255638,262520,266870,270491,273272,280477,281853,289342,294956,301281,136896.0
Chhota Udaipur,164120,164200,164270,164327,164458,164614,164825,165010,165039,165281,165705,165906,166238,166259,166259,166259,166259,166259,166259,166564,166916,167208,167531,168088,168794,169096,169486,170609,170819,171874,172677,173000,174104,175378,177605,179579,180781,182265,183728,185165,186501,187861,189040,190245,191458,193024,194484,195902,197448,198817,199281,202221,206099,209792,214721,312853,324247,332890,346572,357934,359348,362665,366803,371233,375626,380789,384932,385417,385417,385417,389409,393394,397962,402139,403009,406840,411200,415215,415526,425789,436903,438096,447646,453873,459142,463475,466317,471557,472029,480688,487731,491600,269580.0
Dahod,305825,308467,311483,313561,317209,319476,321374,323778,325741,328679,331746,334451,339264,339798,339977,339990,339990,339990,339990,340317,340550,341226,341748,342737,343968,345350,346828,348799,350712,352475,353520,354651,356101,356812,359469,362839,365292,368452,372452,376569,380316,384232,389427,392091,398130,402212,406441,410760,416855,423039,425134,434965,441829,451023,453774,653880,659461,664755,669342,676218,682283,687473,692557,698995,704121,710118,710571,710573,710599,710599,716048,720228,725555,730587,734461,739375,744201,749015,749049,764562,779831,779958,799267,809972,814393,822064,826142,833015,833223,843525,852796,858760,515429.0
Dang,33878,33951,34126,34247,34389,34505,34556,34655,34697,34841,35017,35173,35250,35250,35249,35249,35249,35249,35249,35249,35270,35341,35350,35369,35421,35506,35541,35588,35698,35812,35888,35904,35992,36077,36543,36982,37486,38031,38432,38927,39594,40124,40589,40940,41316,41689,42164,42466,42773,42963,43135,43983,44539,44987,45534,56841,57485,58242,58832,59150,59840,60621,61283,62044,62596,63478,64401,64589,64600,64600,65736,66612,67579,68299,68946,69582,70215,70861,70957,71368,71693,71707,72782,73364,73966,74359,74788,75256,75277,75857,76350,76957,49555.0
Devbhumi Dwarka,110713,111226,112055,112618,113110,114212,115538,116443,116889,117790,118367,118700,119670,119924,119965,119965,119965,119963,119963,120115,120360,120728,120786,121099,121552,121994,122513,123076,123644,123948,124365,124825,124987,125334,128423,131123,134088,137239,141074,144683,148598,152688,157260,161394,166302,169071,172664,175342,179303,183360,186431,198784,205080,214380,221738,299580,307234,312849,318346,321198,325062,329336,332107,334677,337471,340701,344209,344233,344233,344233,347227,350283,353512,356529,359107,362517,365673,369067,369088,376630,382231,382503,392901,398610,403504,410889,418262,422871,422967,428196,433682,437802,228749.0
Gandhinagar,183402,183318,185112,186484,188610,189490,190106,191002,190748,191378,192349,193308,194068,194053,194024,194022,194012,194008,194001,194975,196257,197875,199258,200991,202749,204541,206474,208396,210755,212565,214264,215968,217788,219902,224253,228524,232026,235946,240136,244194,248041,252289,256686,260393,264593,269517,273977,278727,283895,292221,296457,308963,319853,331350,341355,446036,454848,460584,465675,466999,475797,483646,489262,495522,500659,506710,513034,513142,513260,513361,518389,523268,528383,533429,531119,536670,543000,552474,552553,563062,572129,572358,584266,590354,596198,601421,606309,615526,615759,625910,632583,638233,351539.0
Gandhinagar,54076,55259,57212,59791,61906,63947,66726,69425,70637,72836,75886,78258,81327,82304,83482,84449,84610,84773,84925,86889,88971,91007,92748,97263,101957,106424,111316,116978,122473,126457,131871,136780,142080,147132,151998,156876,160863,165596,168952,172327,175863,178991,182974,186418,189762,193114,196331,199227,202241,205876,207604,211267,216085,220178,223465,279288,282910,284603,287275,290137,292469,294792,298027,302638,305336,309074,311988,312258,312526,313033,315960,318722,322218,325964,332558,335165,337694,342066,342066,345395,348219,348506,352212,356195,359741,362299,364949,368588,368873,373470,377661,381901,208641.0
