District,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,23-02-2021,24-02-2021,25-02-2021,26-02-2021,27-02-2021,28-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021,11-03-2021,12-03-2021,13-03-2021,14-03-2021,15-03-2021,16-03-2021,17-03-2021,18-03-2021,19-03-2021,20-03-2021,21-03-2021,22-03-2021,23-03-2021,24-03-2021,25-03-2021,26-03-2021,27-03-2021,28-03-2021,29-03-2021,30-03-2021,31-03-2021,01-04-2021,02-04-2021,03-04-2021,04-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,10-04-2021,11-04-2021,12-04-2021,13-04-2021,14-04-2021,15-04-2021,16-04-2021,17-04-2021,18-04-2021,19-04-2021,20-04-2021,21-04-2021,22-04-2021,23-04-2021,24-04-2021,25-04-2021,26-04-2021,27-04-2021,28-04-2021,29-04-2021,30-04-2021,Mean Vaccination
Malappuram,22511,23108,23679,24306,25078,26328,27201,28603,31468,33684,35109,35489,35822,36199,36547,37581,39023,37856,40359,40456,49635,69308,81464,81464,81464,81464,81464,81464,81464,82370,82936,83493,84944,87171,87420,90295,93928,97091,98595,101773,103174,103214,106625,106625,113360,118524,124397,129191,129303,136315,143006,147233,155381,162366,170878,170880,178213,188184,192249,231837,237020,245574,248211,257385,259193,265637,280275,297416,310723,316581,342670,351393,351831,363160,378655,391631,393590,402720,420016,429834,440688,445978,458072,459396,471994,477802,479601,482228,484204,179484.0
Palakkad,25040,25866,26662,28358,28710,29486,31032,32976,34339,34624,35582,37035,37846,37846,38281,38781,40113,40427,41191,42469,50665,74671,75564,76038,76126,75572,75572,75572,75572,76416,77403,80146,81114,83125,84870,89120,92411,92921,92947,96178,96709,96903,101291,101301,112037,118657,125451,132296,132370,140469,148713,152642,161856,170431,177562,177615,186146,195037,198830,231809,233887,240621,242793,250842,253931,260077,274681,290597,297868,298435,315999,325123,325205,332566,339626,342550,342515,345696,348587,356728,361458,362699,377501,377644,378437,380870,381395,382081,383882,164619.0
Pathanamthitta,20029,21870,22926,23401,23416,24601,24868,25754,26428,26726,26801,27224,27358,27367,27552,28266,28860,28558,29389,29744,34888,43751,44790,45794,45796,46528,46528,46528,46528,48410,50463,56579,60714,67043,67102,73603,79502,80779,83185,90766,94611,94628,102682,102688,113247,120964,129161,136871,136937,146794,156425,161201,169582,176948,182838,182838,190819,195963,198316,212478,214797,220286,221296,226162,227328,230717,240251,250138,256916,257485,270464,280515,282715,293201,303566,312701,313084,321972,325639,329314,331647,332637,334726,335062,340689,345928,348362,351614,354189,147638.0
Thiruvananthapuram,50878,53316,56411,58723,60664,64066,65091,70957,73893,76170,78707,80291,82576,82857,83063,83945,84992,84223,85598,114851,124393,124595,124601,128163,132046,125337,125337,125338,125338,126692,130798,136999,143643,151608,154116,160119,165873,173077,179681,187898,195836,196678,205611,205614,224244,234144,243990,254327,254961,265423,274712,284215,295685,306843,318754,319505,335883,350855,362800,411606,418176,432470,439339,451855,455696,470468,488761,508305,534837,547521,578486,593052,596973,605476,611049,621625,627459,639705,646424,649358,650564,656008,661574,661560,668116,674564,677858,685868,690009,301368.0
Thrissur,35549,37663,39976,43155,44408,45937,47629,50520,51828,52713,53133,54932,55954,56132,58455,59552,61070,58659,61852,61862,66550,87111,88170,88170,88175,88175,88175,88175,88175,89327,89852,90995,92775,94497,95333,97081,98775,99154,100024,101209,102369,102616,104295,104297,106830,109063,110932,113436,113787,116314,118471,119351,123221,125871,128302,130434,133653,136845,137975,280515,287570,301948,313417,327900,334540,346381,369435,393417,413695,426580,449710,464833,468043,484117,492714,498158,506202,515630,527064,537118,548218,558969,569890,572652,577300,577737,579046,582169,583823,213233.0
Wayanad,10550,10764,11210,11519,12365,12739,13064,13481,14634,14771,14987,15276,15507,15507,15680,16132,17085,16350,17123,17810,23174,24660,25800,26667,26667,22727,22727,22727,22727,25862,28813,31856,34957,37866,37888,39942,41090,43850,43928,47120,47246,47268,50715,50717,56089,58936,61749,64144,64205,71575,78460,80992,83447,85164,86658,86678,88353,89941,91238,96844,97424,98584,98974,100756,101311,103668,108519,113045,116616,116822,122806,126211,126250,131330,137017,143781,144979,152613,160714,166988,171575,173670,180019,180323,184679,184897,185179,185276,187166,72575.0
Kargil,2718,2718,2736,2736,2867,2931,2931,3020,3048,3154,3315,3382,3389,3389,3389,3458,3528,3434,3700,3700,3700,3700,3700,3700,3700,3322,3322,3322,3322,3383,3510,3773,4135,4581,4581,5445,6538,7460,8308,9095,10261,10688,11960,12018,14008,14624,15043,15379,15380,15779,16027,16136,16192,16236,16265,16265,16265,16325,16362,16305,17846,19090,20784,22160,22971,24379,25310,25549,25685,26012,26571,26716,26812,26884,26954,27078,27114,27281,27496,27667,27836,28066,28270,28290,28679,28974,29183,29307,29389,13618.0
Leh,10705,10705,10774,10781,10825,10857,10857,10867,10933,10960,11038,11048,11086,11086,11086,11139,11216,11166,11388,11388,11388,11388,11388,11388,11388,9638,9638,9638,9638,9936,10439,10898,11479,12786,12786,14446,16273,18247,20307,22123,23441,23585,24707,24708,25292,25418,25666,25786,25825,25903,25990,26062,26089,26137,26190,26190,26190,26209,26312,27510,31199,33617,34794,36257,36892,37993,38593,38735,38833,39224,39544,39824,40001,40034,40051,40079,40071,40451,41458,42328,42763,43287,43444,43444,44075,44534,44784,45084,45182,24212.0
Lakshadweep,1672,1672,1672,1672,1807,2104,2272,2347,2393,2394,2394,2434,2434,2445,2804,2804,2904,2638,2904,2904,2904,2904,2904,2904,2904,2823,2823,2823,2823,2823,2823,2823,2855,2935,2935,3139,3270,3362,3546,3752,3977,3988,4128,4139,4308,4444,4510,4590,4593,4670,4761,4835,4849,4939,5128,5172,5172,5316,5532,5156,5365,5578,5912,6130,6501,7379,8312,9063,10150,10630,11139,11691,12470,13174,13529,14161,14933,15300,15609,16225,16523,16836,17253,17538,17843,17998,18120,18386,18888,6445.0
Agar Malwa,2739,2739,2996,3155,3300,3305,3305,3411,3491,3622,3951,4084,4223,4232,4292,4301,4677,4264,5161,5161,5161,5161,5161,5161,5161,4512,4512,4512,4512,4556,4636,4805,4805,5148,5148,5530,5531,5980,5980,5980,6489,6489,7572,7574,9206,11099,11110,13721,13767,14089,14125,14854,16179,16179,16461,16461,16461,16461,17280,18874,19800,21089,21852,22407,22939,24680,26384,26551,27212,27319,29797,31943,34362,35890,35935,37066,37508,38409,38432,38438,38951,38967,39371,39376,39595,39629,39894,39897,39897,15690.0
Alirajpur,5952,5952,6018,6779,7011,7024,7024,7061,7277,7482,7508,7671,7854,7854,7921,7921,8336,7660,8338,8338,8338,8338,8338,8338,8338,8206,8206,8206,8206,8311,8641,8898,8898,9189,9189,9384,9384,9609,9609,9609,9914,9914,10233,10234,10519,10794,10795,13198,13482,15829,16297,18966,21625,21688,22955,23060,23060,23061,25042,25628,26297,26568,26851,27305,27680,29525,31781,32414,33264,36535,40054,42218,44526,45175,45622,46301,46609,47152,47477,47773,48207,48546,48657,48699,48739,48772,48836,48833,48833,20761.0
Anuppur,3206,3206,3689,3858,3858,3950,3950,4162,4216,4475,4662,4948,5061,5186,5283,5283,5498,4936,5892,5892,5892,5892,5892,5892,5892,5768,5768,5768,5768,5906,6011,6198,6199,6588,6588,6812,6812,7044,7044,7044,7575,7575,8836,8845,10566,12277,12282,14468,14670,14984,15020,16532,17866,17867,18330,18330,18330,18330,19096,19889,22844,23544,23664,24448,25477,29172,31910,32074,32981,36222,40544,45273,49632,51374,51581,54688,54836,56977,57053,57089,58227,58291,59046,59069,59665,59676,60175,60173,60173,20714.0
Ashoknagar,4437,4437,4528,4695,4839,5004,5019,5235,5235,5371,5541,5682,6283,6283,6647,6650,7150,6895,7564,7564,7564,7564,7564,7564,7564,6834,6834,6834,6834,7464,8143,8704,8704,9308,9308,9538,9538,9768,9768,9768,10046,10046,10578,10581,11317,12771,12849,15338,15502,18533,19264,21732,23655,23655,24170,24176,24176,24176,24512,27101,30112,30496,30531,32999,34727,38806,39944,39942,40411,44766,50946,55250,58927,62295,63047,66075,66189,70142,70459,70530,73105,73352,75051,75076,75773,75909,76090,76112,76110,26040.0
Balaghat,9969,9969,11281,12062,12713,12908,12908,13355,13365,14106,14677,15075,15485,15485,16634,16667,18187,16350,18677,18684,18684,18684,18684,18684,18684,16385,16385,16385,16385,17064,18695,20206,20212,21874,21874,23375,23375,24854,24854,24854,26110,26110,27839,27841,31709,36967,36990,50478,52297,52707,52727,66657,70720,70724,71031,71030,71030,71030,81541,86762,88777,91398,94202,96656,98174,107274,116581,117525,117603,132262,142906,149712,155255,158317,158908,161034,161030,161948,161983,161978,162759,162874,163291,163293,163774,163813,164185,164165,164161,66032.0
Barwani,7947,7947,8729,9524,9558,9700,9700,9969,10089,10545,10838,11113,11514,11515,11738,11743,12701,11513,12706,12707,12707,12707,12707,12707,12707,11968,11968,11968,11968,12203,12684,13249,13300,14077,14077,14941,14941,15684,15684,15684,16801,16827,17942,17944,19022,19769,19769,22966,23341,26610,27318,28114,28464,28464,28745,28745,28745,28744,29366,31000,33250,34983,36560,38902,40602,43668,46178,46567,47059,50163,52771,55007,57510,58372,58784,59467,59542,60384,60471,60974,61622,61902,62480,62614,63088,63147,63577,63577,63576,28486.0
Betul,8658,8658,9166,9208,9835,10594,11344,11471,11656,11983,12340,12552,12744,13155,13155,13989,14380,13688,14992,15003,15003,15003,15003,15070,15070,14863,14863,14863,14863,15105,15897,16880,16895,17945,17945,19047,19047,20230,20230,20230,23180,23284,26462,26472,29308,32771,33167,40852,42241,43803,44183,51974,55560,55579,56597,56608,56608,56608,63460,68090,72381,73153,73520,75839,78430,87267,94854,97278,98754,108670,119288,126621,134208,137228,137711,140946,141273,143374,143629,143679,145921,146233,147676,147766,148653,148694,149407,149471,149478,56414.0
Bhind,6817,6867,7353,7757,7758,7802,7802,8868,9117,10034,10235,11161,11433,11605,11937,11941,12303,12455,13222,13244,13244,13247,13247,13247,13247,12785,12785,12785,12785,13000,13473,13856,13856,15195,15286,16689,16730,18151,18155,18155,20981,21002,24119,24178,28219,31390,31542,35379,35981,40258,41577,43843,45279,45282,46367,46383,46383,46383,48603,51957,57907,59900,62466,63648,64744,70148,76753,77483,77484,83472,90535,98552,108486,109899,110118,114456,115002,118044,118244,118394,123291,123714,126389,126515,127580,127677,127903,127902,127898,46959.0
Bhopal,28993,29114,29831,30503,38278,39623,39650,42230,42981,48233,50378,52457,53765,54296,55735,57687,64950,53267,68424,68430,68430,68430,68430,68521,68524,53296,53296,53296,53296,55057,57694,60608,62849,67114,67163,71741,72065,77704,78171,78744,86763,86765,92821,92848,99192,104154,105330,113355,113963,122550,124686,138026,149869,150781,161954,162476,162502,162929,170752,196471,211951,226541,255370,271087,283154,305057,323914,338226,344184,360516,373003,383009,393001,401468,408100,414286,415557,421011,424495,426006,431004,433587,436585,436921,438237,439029,440287,440574,440714,177172.0
Burhanpur,3925,3925,4911,5043,5043,5044,5044,5270,5270,5383,5477,5637,5690,5691,5973,5973,6292,5709,6735,6765,6765,6765,6765,6765,6765,6346,6346,6346,6346,6653,7108,7662,7666,7744,7778,8179,8179,8589,8589,8589,8957,8957,9522,9524,10739,11948,11949,14161,14251,15503,15624,16182,16652,16651,17556,17556,17556,17556,19582,25984,28202,30681,31928,33410,35142,40832,42130,42306,42418,48219,52761,56927,60473,62766,63072,66199,66286,70318,70508,70960,73933,74085,75581,75711,76031,76236,76450,76448,76444,25254.0
Chhatarpur,9602,9721,10791,11298,11298,11763,11763,12244,12251,12599,12838,13067,13279,13279,13556,13696,14101,13690,14491,14508,14508,14508,14508,14508,14508,14331,14331,14331,14331,14599,15341,16135,16172,17026,17026,17779,17781,18506,18506,18506,19853,19855,21721,21725,24077,28251,28303,36018,36696,40307,40717,43606,47301,47337,50950,50950,50954,50956,54874,57498,62700,66073,69029,70833,72859,79308,86001,86586,88764,96582,103726,111038,117008,119592,119777,125290,125995,133143,133732,133876,139623,140020,142316,142417,143211,143366,143505,143547,143583,51938.0
Chhindwara,14718,14718,15427,16131,16508,17315,17480,18083,18225,18479,18787,18978,19392,19421,20064,20490,21757,20426,22325,22493,22493,22493,22521,22521,22521,21725,21725,21725,21725,22214,23425,24660,24664,26681,26681,28667,28700,30924,30926,30926,33100,33100,35776,35786,39936,43747,43811,54617,55427,59657,60662,70497,74290,74298,75582,75657,75657,75657,84087,89722,96112,97820,98794,104219,109070,117202,124758,125494,128418,132405,138951,145250,153082,155929,156319,157572,157669,158738,158866,158968,160009,160174,160926,160992,161710,161910,162489,162523,162516,69540.0
Damoh,6665,7028,7298,7589,7957,8751,9171,9509,9545,9996,10103,10269,10597,10619,10644,11063,11283,10556,11882,11920,11920,11920,11920,11920,11930,11662,11662,11662,11662,11837,12518,13363,13387,14568,14570,15428,15431,16300,16300,16300,17388,17394,18660,18661,20136,22166,22628,27218,27835,30002,30226,33150,35172,35508,36515,36540,36540,36540,39447,40132,42454,43341,44838,45754,46846,52815,55610,56880,58058,58872,64706,70054,74131,76586,76878,79156,79208,80658,80890,81011,82526,82699,83248,83363,83638,83839,83999,84036,84038,34390.0
Datia,8279,8279,8503,9271,9271,9758,9894,10325,10325,10556,10745,10914,10962,11104,11260,11277,12087,11915,12649,12658,12658,12658,12658,12658,12658,8515,8515,8515,8515,8807,9258,9679,9679,10036,10037,10292,10292,10682,10682,10750,13586,13598,17366,17418,21413,23966,23967,30283,30507,36380,37076,39382,39762,39762,40486,40486,40486,40486,41951,41576,43046,44435,45027,45886,46286,47846,51212,52010,52010,53347,55901,57915,61516,64592,64820,66514,66548,69956,70621,70636,73248,73273,74688,74695,74983,74977,74969,74963,74960,32004.0
Dewas,9952,10026,10852,10899,11952,12113,12113,12327,12533,12656,12963,13077,13391,13637,13989,14045,14480,14379,15546,15660,15660,15660,15660,15660,15660,15341,15341,15341,15341,15517,15841,16532,16546,17590,17590,18639,18653,19770,19773,19773,22023,22023,24332,24336,27305,29954,29969,37781,38112,46299,47144,53249,54113,54113,55050,55050,55050,55050,57674,64684,67884,71097,72635,75508,78587,89173,93598,95468,97813,105999,113582,118402,123920,126636,126935,127893,127908,129102,129269,129313,130870,131070,131939,131951,132689,132986,133595,133610,133604,53245.0
Dhar,13222,13486,14109,15247,16195,17057,17057,17427,17735,18121,18753,19021,19292,19292,19640,19689,20693,19636,21906,21906,21906,21906,21906,21906,21906,21146,21146,21146,21146,21842,24317,27147,27264,30015,30084,32097,32137,34128,34164,34164,38669,38772,42262,42330,45778,49547,50236,55158,56303,59928,61555,65791,68466,68668,70450,70465,70465,70468,73434,75021,79241,81799,84270,86983,90458,98037,103194,104374,104797,114659,124565,129460,133974,137467,138800,141372,141506,143457,143606,143653,145245,145495,146831,146873,147997,148071,148703,148714,148710,64124.0
Dindori,6561,6561,6699,6729,6775,7020,7636,7790,7791,7974,8244,8470,8523,8523,8645,8713,8845,8862,8928,8933,8933,8933,8933,8933,8933,8500,8500,8500,8500,8649,8927,9221,9221,9942,9942,10662,10663,11273,11273,11273,12598,12601,14185,14245,16390,17895,17977,21136,21928,24554,25624,27636,28601,28776,29582,29635,29635,29635,29635,30770,32811,33422,34885,35517,36349,39067,42049,42357,42791,46110,49773,53293,56025,57454,57562,59373,59641,60544,60727,60731,61215,61277,61457,61472,61629,61662,61733,61733,61732,26128.0
Guna,6052,6068,6447,7306,7328,7438,7438,7756,7757,7991,8274,8430,8768,8768,9133,9145,10571,9484,11457,11491,11491,11491,11491,11491,11491,10894,10894,10894,10894,11339,12581,13877,13878,15355,15355,16527,16527,17584,17584,17584,19921,19921,22615,22631,26289,28801,28802,38545,39172,39931,39998,50805,51600,51600,51610,51610,51610,51610,52609,53167,55645,56967,58448,59786,61371,66938,69918,70438,70436,75421,83699,89014,94239,97038,97228,100283,100328,103774,103872,104028,106577,106658,107757,107778,108301,108361,108628,108628,108628,42914.0
Gwalior,15382,15391,18136,19462,19462,19463,19878,21370,21403,21744,22956,24242,27378,29243,30043,33059,33783,29981,36761,38481,38493,38494,38494,38494,38494,36098,36098,36098,36098,37097,38872,40518,40533,42362,42362,44269,44282,46440,46440,46440,50187,50195,53956,54046,58647,61430,61434,68269,68878,79065,83071,90079,94635,94965,98984,99011,99011,99019,105568,106773,115397,123119,135048,142206,149346,159442,173609,182498,185420,196978,210595,220282,230707,237073,241067,248446,249920,255610,257412,258861,263756,265600,269496,270355,272173,272643,272926,273035,273172,104354.0
Harda,2560,2560,2598,2612,2933,3323,3393,3569,3707,3889,4025,4223,4345,4384,4431,4449,5177,4552,5540,5540,5540,5540,5540,5540,5540,5422,5422,5422,5422,5488,5862,6259,6259,6599,6599,7042,7042,7365,7365,7365,7686,7686,8140,8141,8847,9852,9854,11465,11596,13078,13299,14681,15171,15171,15459,15459,15459,15459,16435,17400,18507,19456,20703,21329,22514,25889,26231,26231,26230,31205,35297,38263,40566,42777,42971,44538,44576,45328,45348,45373,45958,45990,46490,46502,46666,46712,46897,46896,46895,17226.0
Hoshangabad,9366,9366,9990,10484,10806,11126,11127,11350,11471,11630,12105,12364,13022,13162,13911,14068,14318,12890,14668,14744,14744,14757,14758,14768,14768,13782,13782,13782,13782,14037,14815,15794,15795,16873,16873,18015,18018,19098,19100,19100,21443,21459,24024,24027,26732,28978,28981,33289,33507,35800,35977,39616,43260,43262,45030,45032,45032,45032,48149,52053,55331,57719,59003,61491,63781,69040,77578,78528,81381,88502,94128,97799,102330,104579,104704,107367,107428,108515,108555,108619,109548,109611,110529,110636,111433,111483,112020,112076,112075,45111.0
Indore,33435,33435,42838,46091,47138,47659,47659,49534,51876,56326,59858,61050,62981,63398,67290,68062,75076,70500,79811,79815,79815,79815,79815,79817,79819,69319,69319,69319,69319,69855,70947,73118,75067,79162,79395,84383,87170,91235,91292,93806,98888,98899,104402,104424,111356,115614,117343,127615,127971,139669,142727,156849,169810,171856,185994,186398,186398,187839,200885,291941,319457,342383,362974,389838,409807,451784,486236,506395,513516,544052,565360,576730,587687,588681,592548,598806,599519,603803,604645,605520,610549,611695,616502,617164,621581,622207,625058,625098,625060,242328.0
Jabalpur,23431,23432,26022,26458,28118,28882,28883,29412,30830,32059,32943,34023,35099,35898,36881,37679,40233,34938,45037,45152,45152,45152,45169,45172,45178,37393,37393,37393,37393,38360,40291,42921,43048,46118,46174,48965,49080,52059,52124,52124,56409,56444,60727,60787,65804,69798,70092,82499,84505,98072,101968,112677,119702,119888,126051,126302,126302,126316,129828,148182,158039,169176,183934,195057,205554,222805,248175,256845,266832,280348,294788,304336,316072,323091,326507,332404,334511,338857,339536,340121,343826,344976,347828,347958,350202,351038,353193,353898,354040,135600.0
Jhabua,8119,8119,8411,9037,9392,9546,9817,9903,10205,10247,10411,10509,10682,10775,10775,10868,10963,10209,11591,11591,11591,11591,11591,11591,11591,11079,11079,11079,11079,11358,11990,12623,12623,13398,13398,13996,13996,14505,14505,14505,14520,14520,15218,15218,15839,16580,16583,18237,18288,22267,22961,26522,26775,26775,26992,26992,26992,26992,29352,31329,31954,32218,32230,33382,34213,35375,36683,37233,37589,41376,43788,45793,48142,48434,48462,49169,49179,49642,49674,49712,50041,50070,50368,50378,50573,50630,50896,50936,50933,24476.0
Katni,6926,6927,7706,8183,8321,8619,8691,9043,9043,9231,9394,9503,9576,9576,10019,10106,10312,9260,11073,11158,11158,11158,11160,11160,11160,10740,10740,10740,10740,10899,11255,11636,11636,12257,12258,12907,12907,13563,13563,13563,14247,14247,15193,15196,16524,17770,17772,25641,26206,29560,29704,32823,35268,35270,37850,37850,37850,37850,38502,45210,47638,51704,54613,55174,56158,64028,72646,74385,75291,76332,85584,91376,99319,105484,105909,110558,110713,113787,113915,114019,115244,115379,116020,116094,116430,116501,116766,116775,116786,41607.0
Khandwa,6321,6321,7268,7303,7511,8450,8562,8581,8957,9230,9508,9531,9679,9679,10251,10291,11913,9112,11997,11998,11998,11998,11998,11998,11998,11634,11634,11634,11634,11868,12344,13302,13302,14424,14424,15420,15420,16252,16252,16252,17925,17925,19592,19593,21413,22881,22881,27340,27558,30009,30235,33899,35632,35635,36325,36325,36325,36325,41266,45166,46956,47922,49653,54521,58449,62107,66067,67492,69609,75831,82636,86447,90244,92151,92330,95169,95243,97009,97088,97205,99019,99167,100639,100709,101501,101594,101915,101918,101935,39045.0
Khargone,9405,9481,9972,10854,12466,12538,12631,12814,13426,13649,14133,14711,14979,14979,15708,15737,16893,16332,17194,17202,17202,17202,17202,17202,17202,15939,15939,15939,15939,16279,17175,18359,18449,19895,20002,21267,21282,22579,22583,22594,24337,24347,26310,26326,29767,33471,33482,38704,39235,41801,42161,43692,44360,44361,46788,46867,46867,46867,50009,54011,55952,58967,61680,65282,67824,73748,77934,79186,81329,89942,96578,101291,106512,108724,109433,110861,111166,113593,113817,114030,116495,116822,118039,118174,118763,118918,119177,119175,119175,48221.0
Mandla,7558,7558,8044,8588,9333,9555,9623,10201,10201,10424,10659,10794,10929,10929,10980,11482,12083,11456,12928,12960,12960,12960,12960,12960,12960,11714,11714,11714,11714,11924,12298,12666,12666,13173,13173,13700,13700,14300,14303,14303,15796,15822,17232,17264,18872,20304,20321,26058,28028,32021,32830,35017,37327,37408,39270,39286,39286,39286,39707,40883,44046,46091,47185,47864,49253,53555,57998,58626,59862,64273,69760,73365,78492,80843,80996,82082,82119,82935,82980,83015,83338,83404,83612,83636,83756,83772,83917,83916,83913,35222.0
Mandsaur,6463,6463,7159,8095,8535,8535,8535,8922,8922,9077,9295,9503,9812,9812,9952,9952,10556,9816,11372,11372,11372,11372,11372,11372,11372,10774,10774,10774,10774,11393,12863,14479,14479,16056,16056,17237,17237,18354,18354,18354,20362,20374,22141,22144,24113,25584,25587,30759,30976,33886,34188,36116,37479,37479,38557,38557,38565,38565,39746,43736,46163,48807,50307,52744,55908,60551,64268,64556,64852,71330,78051,81067,84377,87779,88288,91993,92388,94930,95210,95466,98071,98313,99411,99505,100011,100012,100015,100011,100007,38879.0
Morena,10011,10232,10431,11928,12338,12542,12542,12877,12933,13153,13472,13850,14122,14243,14407,14677,15834,15526,16285,16331,16331,16331,16331,16331,16331,15617,15617,15617,15617,16226,16740,17438,17464,18624,18657,19789,19883,20873,21113,21113,22983,23075,24915,24940,27849,31036,31191,36733,39328,42651,43665,49929,52873,53247,53897,53897,53897,53897,56348,56285,60535,63072,68287,70148,71766,80994,85269,86539,86728,91105,98130,105263,111201,114837,117996,120758,121714,126201,128587,129048,131388,132809,134238,134692,135371,135795,136110,136155,136166,51723.0
Narsinghpur,7332,7496,7803,9051,9155,9192,9255,9316,9402,9456,9561,9780,9921,9951,9966,10073,10327,10278,11051,11070,11070,11070,11070,11070,11070,10792,10792,10792,10792,11091,12039,13170,13206,14524,14555,15693,15693,16612,16612,16612,19818,19820,23037,23041,26496,29522,29574,33515,33594,35649,35906,39467,42017,42018,43079,43079,43079,43079,43100,45734,48323,50632,51800,53418,54634,59748,63516,64299,64738,71342,76467,80801,85783,88003,88080,90734,91977,93496,93512,93572,95231,95283,96721,96834,97612,97691,98060,98060,98057,39110.0
Neemuch,6521,6521,6850,7337,7549,7710,7742,7879,8001,8177,8420,8650,8877,9080,9452,9784,10646,11348,12257,12304,12304,12304,12306,12306,12330,11297,11297,11297,11297,11927,12813,13717,13717,14637,14637,15380,15391,16030,16030,16030,16992,16992,18340,18341,20138,22330,22354,27158,27406,29958,30197,31471,32158,32159,32901,32902,32902,32902,33496,34875,36922,39530,40436,41259,42069,45138,47228,48315,48717,52353,55876,60132,64984,67048,67292,69741,69944,72863,73055,73263,76188,76580,77375,77557,77570,77562,77582,77628,77674,31461.0
Panna,5239,5239,5510,5853,5853,6126,6334,6420,6467,6774,6943,7367,7640,7796,8032,8032,8833,7348,9242,9242,9242,9242,9242,9242,9242,9084,9084,9084,9084,9190,9453,9694,9694,10139,10139,10503,10503,10879,10879,10879,11673,11678,12935,12940,14537,15868,15883,18822,19077,20406,20653,21626,22255,22255,23225,23236,23236,23236,23692,23766,27040,28725,30473,30630,30859,33744,36867,37279,38466,40530,43545,46079,49309,50671,51245,52078,52271,52931,52991,53007,53574,53750,54236,54256,54414,54432,54583,54583,54582,22954.0
Raisen,6125,6125,6445,6864,7304,7749,7750,7909,7953,8005,8237,8403,9072,9072,9748,9748,10126,9965,10378,10378,10378,10378,10378,10378,10378,8806,8806,8806,8806,9162,10009,10780,10880,11560,11723,12474,12525,13034,13034,13034,14257,14264,15335,15337,16406,17293,17292,19397,19509,22840,23583,26745,28481,28484,30286,30286,30286,30286,31399,32832,36705,39353,42547,45054,47405,52368,55350,55755,56615,66374,74696,79044,82714,88137,88346,92988,93061,96032,96136,96152,97785,97840,99593,99626,100374,100396,100922,100925,100925,35174.0
Rajgarh,7967,7967,8742,8915,9011,10143,10158,10510,10594,10812,11000,11377,11526,11527,11735,11741,12932,12639,13274,13280,13280,13280,13280,13280,13280,12316,12316,12316,12316,12969,14354,15622,15658,17061,17061,18197,18251,19261,19261,19261,21135,21135,23187,23234,25767,29330,29349,35949,36337,39737,39972,43846,45700,45702,47010,47011,47011,47011,49659,55078,57625,59542,60933,62997,65478,72576,77936,78718,79453,87535,95222,100747,105627,108530,108555,112171,112179,113821,113837,113846,115724,115752,117286,117305,118017,118059,118460,118459,118458,46253.0
Ratlam,8070,8070,9507,10309,10424,10880,10887,11751,12173,12908,13927,14886,14979,14979,15000,15316,16066,14853,16660,16673,16750,16750,16750,16750,16750,16137,16137,16137,16137,16760,18186,19870,19903,19904,19904,21395,21395,22596,22633,22633,24835,24855,27230,27261,29764,32188,32569,36570,37085,38195,38391,40481,42179,42185,43642,43644,43644,43644,46185,49260,52813,54833,58004,60120,62627,66093,70015,71322,74160,83970,94249,100501,106677,109549,110055,112431,112682,114769,115015,115234,116906,117295,118946,119215,120365,120540,121030,121108,121110,47160.0
Rewa,10791,10935,12429,14134,14575,14978,15630,15961,16371,16643,17399,18145,18558,19243,19312,20057,20121,18590,21132,21132,21132,21132,21132,21132,21132,20901,20901,20901,20901,21652,23333,25141,25250,26877,26877,28423,28429,30197,30230,30230,39860,40697,55582,56027,76740,84718,85598,97788,99069,107140,108152,116208,121113,121225,125388,125613,125613,125613,128356,129385,142801,153254,162305,163595,164616,176650,188548,193582,196109,205939,217338,228590,242141,246331,246920,252451,252805,256315,256785,256923,260278,260702,262708,262918,264605,264739,265719,265747,265738,105271.0
Sagar,13089,13307,14219,14443,15640,15805,15805,16374,16510,16951,17471,17868,18383,18524,20422,20489,21547,20335,21812,21884,21884,21884,21884,21884,21884,20820,20820,20820,20820,21196,22194,23278,23278,25246,25255,27115,27119,29040,29040,29040,31763,31763,37970,37994,44992,50684,50779,62664,63303,73749,74887,89099,95665,95723,97560,97565,97564,97593,102799,115544,130209,138888,144888,151067,158447,173654,192793,200756,213429,227016,242594,257601,275810,283748,285644,296333,299358,305592,307023,307488,313015,315114,318452,319209,320817,321596,322534,322622,322697,109477.0
Satna,10397,10397,11695,12310,12434,12632,13241,13366,13761,14466,14682,14965,15378,15698,15936,16652,18123,14836,19416,19416,19416,19435,19435,19435,19435,18939,18939,18939,18939,19233,20012,20814,21079,22116,22116,22990,23017,24091,24091,25561,27901,27924,31834,31981,39800,47790,49229,56402,58002,60737,61440,68495,73656,73776,76470,76521,76521,76536,81022,82793,90879,95951,99411,102162,104337,111584,122531,126957,130690,138630,149825,157905,166840,170435,171484,172613,172926,176736,177848,179166,181779,183139,185067,185453,186652,187262,188043,188551,188685,71688.0
