District,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,23-02-2021,24-02-2021,25-02-2021,26-02-2021,27-02-2021,28-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021,11-03-2021,12-03-2021,13-03-2021,14-03-2021,15-03-2021,16-03-2021,17-03-2021,18-03-2021,19-03-2021,20-03-2021,21-03-2021,22-03-2021,23-03-2021,24-03-2021,25-03-2021,26-03-2021,27-03-2021,28-03-2021,29-03-2021,30-03-2021,31-03-2021,01-04-2021,02-04-2021,03-04-2021,04-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,10-04-2021,11-04-2021,12-04-2021,13-04-2021,14-04-2021,15-04-2021,16-04-2021,17-04-2021,18-04-2021,19-04-2021,20-04-2021,21-04-2021,22-04-2021,23-04-2021,24-04-2021,25-04-2021,26-04-2021,27-04-2021,28-04-2021,29-04-2021,30-04-2021,Mean Vaccination
Tinsukia,7812,7882,7882,8068,8423,9007,9007,9145,9369,9564,9564,10740,10861,10861,10861,10861,10862,10480,11275,11400,11404,11417,11417,11417,11417,13758,13758,13758,13758,14059,14401,15504,17018,18680,19222,20239,20947,20948,21621,22291,22838,22838,23523,23532,24903,25685,26335,26770,26788,27602,32154,32402,36164,38432,38762,38762,38805,39405,39658,34159,35446,36453,37916,39691,42172,44803,48025,48926,49329,49687,50146,50377,50380,50378,50476,50537,50525,52693,55119,55615,56902,58089,58772,58802,60171,62088,62297,64541,67453,29531.0
Udalguri,7209,7209,7209,7909,8534,8917,8937,9076,9300,9381,9416,9419,9419,9419,9419,9484,9505,9184,9552,9552,9552,9552,9552,9552,9552,9553,9553,9553,9553,9729,10023,10322,10667,11034,11140,11574,11822,12041,12206,12387,12659,12659,12964,12964,13398,13621,13794,13981,13983,14270,15993,16393,17774,18988,20001,20001,20001,20966,20966,16996,16995,17528,17877,18652,19295,20435,21778,22830,23770,23994,24992,25649,25646,25642,25804,25830,25828,26593,28106,29153,30748,31515,31843,31839,33311,34424,34923,36821,38910,16630.0
West Karbi Anglong,1491,1491,1491,1521,1529,1665,1665,1685,1758,1856,1899,1901,2063,2130,2130,2137,2172,2088,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2399,2537,2750,2971,3262,3432,3851,4121,4342,4474,4559,4611,4713,4779,4779,4901,4952,5056,5148,5218,5357,6695,7287,7912,8223,8608,8608,8675,9048,9166,8212,8368,8535,8657,8823,8931,9111,9317,9487,9543,9600,9645,9758,9768,9798,9810,9903,9939,10204,10485,10785,11078,11466,11843,11894,12229,12470,12804,13075,13229,5940.0
Araria,6276,7068,7901,8436,8764,8826,9091,9365,9900,10544,10760,11924,14002,14325,14375,14535,14612,14653,14705,14705,14705,14705,14733,14733,14733,14733,14733,14733,14733,14937,15242,15622,16018,16789,16985,20379,23314,25438,26306,28685,30535,31254,32209,32274,34001,35209,36877,38875,39987,40932,42712,44935,46720,48653,50721,51539,51569,51930,53036,51098,53189,54613,56343,58533,61277,67664,69931,71090,72086,73594,74827,78326,82000,88141,93401,97209,98985,101675,103118,104639,105591,106690,107524,108436,109411,110807,111809,112754,113776,44601.0
Arwal,2612,2791,3013,3274,3504,3608,3700,3911,4196,4300,4388,4445,4815,4815,4815,4817,4914,4667,4914,4914,4914,4914,4914,4914,4914,4908,4908,4908,4908,4913,4986,5043,5127,5216,5216,6525,6783,7031,7031,7494,7772,7772,8381,8381,9576,10140,10412,10881,10929,11856,13381,14085,15211,15675,16295,16295,16295,16668,17339,17679,18836,19704,20942,21989,22582,24114,25448,25593,27101,28095,28984,29212,30211,30723,30810,31263,31831,32445,32768,32937,33163,33455,33738,33841,34055,34238,34458,34650,34787,14595.0
Aurangabad,7109,8110,9032,9793,9979,10153,10327,10422,10578,10735,11043,11563,12943,12962,12962,13159,13398,13275,13835,13835,13835,13875,13875,13891,13891,13872,13872,13872,13872,13977,14187,14575,15078,15780,15784,18808,19908,20597,20601,21684,22202,22202,22946,22970,24103,24729,25603,27001,27104,27926,29312,30144,31226,32262,34121,34674,34674,34799,35821,35830,39048,41126,44052,45857,48315,52586,55054,56037,58441,61625,64724,66058,68797,71740,73453,75967,77378,79384,81690,83148,84826,86230,87582,88174,89352,90316,91087,91861,92698,35588.0
Banka,5737,6214,6546,6735,6959,7124,7391,7557,7789,8276,8290,8312,8404,8427,8520,8520,8613,8446,8653,8653,8653,8653,8653,8653,8653,8653,8653,8653,8653,8780,8851,9275,9905,10657,10658,18957,20884,22788,23042,27245,30952,31128,34309,34435,39665,42162,44839,47434,48372,50326,53015,55636,59004,62168,65117,66380,66750,68722,72467,73301,76382,77771,80192,81585,85028,88820,91798,93034,97320,101692,104633,105727,108298,109812,110149,111860,113166,114477,115708,116324,117223,117649,118264,118579,119479,120169,120850,121614,122390,50677.0
Begusarai,10908,11463,11839,12247,12691,13009,13524,13816,14059,14444,14750,15271,15775,15843,16211,16215,16894,16827,17455,17461,17461,17486,17486,17487,17487,17487,17487,17487,17487,17575,17827,18419,19022,19581,19581,24870,26625,28083,28083,29569,30730,30730,31990,31994,34138,35256,36405,37900,39884,42770,47397,51319,56962,62008,68080,70750,71410,74166,78635,80509,87612,91229,94510,97369,102170,111774,121124,123933,131157,138919,145779,148249,153484,156407,157563,163145,166464,170176,173266,175868,177867,179847,180790,182701,185396,187629,189964,192338,193949,68438.0
Bhagalpur,10700,11266,11968,12490,13208,14253,15060,15593,16081,16761,17008,18209,20317,20540,20540,20540,22648,19660,22678,22678,22678,22678,22678,22678,22888,22864,22864,22864,22864,22900,23103,23636,24616,25943,25943,36072,39237,41712,41712,49023,54058,54130,58304,58495,65593,68878,71644,74294,74497,77004,80855,84493,88972,92757,95619,96467,96468,98316,101579,102029,109598,114378,117831,121030,127922,138146,143467,144132,151208,159335,165672,167987,172178,174064,174343,178114,181328,184325,187100,188288,190530,192639,194813,196373,198258,199948,201432,203399,205399,82908.0
Bhojpur,8989,9785,10173,10494,11185,11293,11296,11403,11476,11582,11815,11975,12418,13113,13301,13676,15775,13756,16584,16584,16584,16584,16584,16584,16584,16583,16583,16583,16583,16734,16876,17218,17592,18068,18068,19571,20458,21200,21215,23091,24564,24564,26046,26046,29385,31389,33772,36369,36546,38667,41697,45421,48927,52364,55114,55666,55674,57037,60710,59257,64484,67601,72524,75919,80187,85871,88156,88490,95409,103002,105967,106527,109958,113231,113647,116895,119429,122411,124519,126054,128739,130518,132593,133852,135424,136612,137888,139258,140938,52150.0
Buxar,5683,6105,6460,6792,6970,7122,7319,7412,7648,7964,8065,8256,9877,9904,9906,10322,10440,10147,10541,10541,10541,10541,10542,10542,10543,10543,10543,10543,10543,10623,10741,10877,11192,11515,11515,13878,14709,15688,15688,17946,19701,19701,22355,22422,26224,27798,30374,33342,33889,36218,39316,41579,44052,46025,47530,47541,47541,47722,49605,50457,54110,56252,57877,59872,63315,67182,68099,68655,72947,77048,80871,81753,84944,85953,86050,88914,91209,93313,94602,95833,96917,98082,98833,99835,100955,102087,102898,103729,104513,40188.0
Darbhanga,13241,13942,14762,16677,17011,17966,18188,18924,19369,19526,20592,20935,23097,23363,23363,23464,23882,22593,23883,23883,23883,23883,23883,23883,23883,23883,23883,23883,23883,24103,24250,24671,25275,26367,26371,30554,32860,34984,34984,39137,42526,42540,45963,46066,52745,56701,60740,64734,65628,68501,72893,76606,81830,87369,92803,93317,93317,95785,99740,102816,110699,115906,121078,123977,131343,141873,145874,146372,154230,164890,170626,172119,177149,180340,180917,185274,189554,193983,197966,201779,204885,207468,209847,212098,217215,220618,223843,227361,230579,84715.0
East Champaran,14881,15796,17339,18367,19059,19703,20166,21038,22346,22613,23865,24589,24769,27096,27114,27655,27754,27799,28013,28017,28017,28017,28017,28017,28017,28017,28017,28017,28017,28097,28407,28814,29296,29873,29881,34195,35914,37000,37000,40529,41572,41572,42558,42559,44575,45739,46738,48456,48475,50029,52442,54384,56639,58855,61291,61399,61399,62745,65739,65092,72373,77369,84688,89603,94564,102420,105175,106758,117935,127720,134028,135007,145561,149742,150159,155723,162409,170380,174980,180647,183177,187577,189087,196201,201882,205436,209780,213894,215879,72602.0
